,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-461328496.0,-4.98,-254159392.0,-2.74,-207169104.0,-2.24,22010256.0,0.24,439318224.0,4.74
1,2022-11-18,-637738320.0,-8.64,-444033264.0,-6.02,-193705056.0,-2.63,91259184.0,1.24,546479136.0,7.41
2,2022-11-21,14473664.0,0.21,127430192.0,1.82,-112956528.0,-1.61,-64826704.0,-0.93,50353056.0,0.72
3,2022-11-22,-18559312.0,-0.21,-149929760.0,-1.71,131370448.0,1.5,49023008.0,0.56,-30463696.0,-0.35
4,2022-11-23,-120630064.0,-1.83,-125696416.0,-1.91,5066352.0,0.08,-61904176.0,-0.94,182534224.0,2.77
5,2022-11-24,-406533648.0,-7.27,-245016784.0,-4.38,-161516864.0,-2.89,-144272928.0,-2.58,550806560.0,9.85
6,2022-11-25,-278254912.0,-4.94,-252563248.0,-4.48,-25691664.0,-0.46,-56396448.0,-1.0,334651344.0,5.94
7,2022-11-28,-143453840.0,-2.12,-59634256.0,-0.88,-83819584.0,-1.24,14873216.0,0.22,128580608.0,1.9
8,2022-11-29,-322944784.0,-4.25,-150131792.0,-1.98,-172812992.0,-2.28,-64960512.0,-0.86,387905328.0,5.11
9,2022-11-30,-330626048.0,-3.57,-293416768.0,-3.17,-37209280.0,-0.4,49151456.0,0.53,281474608.0,3.04
10,2022-12-01,-95877072.0,-1.21,-175666928.0,-2.22,79789856.0,1.01,-78780480.0,-1.0,174657568.0,2.21
11,2022-12-02,-522418720.0,-8.54,-333271824.0,-5.45,-189146896.0,-3.09,-19612240.0,-0.32,542030960.0,8.86
12,2022-12-05,-191245456.0,-2.26,-246854240.0,-2.92,55608784.0,0.66,91166784.0,1.08,100078672.0,1.18
13,2022-12-06,-41145232.0,-0.51,7184176.0,0.09,-48329408.0,-0.6,-141673712.0,-1.76,182818960.0,2.27
14,2022-12-07,-147899792.0,-2.17,-59901168.0,-0.88,-87998624.0,-1.29,-111292016.0,-1.64,259191808.0,3.81
15,2022-12-08,-412062528.0,-7.45,-235536992.0,-4.26,-176525536.0,-3.19,-21675760.0,-0.39,433738288.0,7.84
16,2022-12-09,-361911568.0,-5.09,-253666704.0,-3.57,-108244864.0,-1.52,-82989936.0,-1.17,444901504.0,6.26
17,2022-12-12,113009024.0,1.61,-2755696.0,-0.04,115764720.0,1.65,-22852192.0,-0.33,-90156800.0,-1.29
18,2022-12-13,-253022880.0,-4.6,-167104720.0,-3.04,-85918160.0,-1.56,-69774736.0,-1.27,322797600.0,5.87
19,2022-12-14,-298496976.0,-6.07,-326859440.0,-6.65,28362464.0,0.58,32413616.0,0.66,266083376.0,5.41
20,2022-12-15,72715584.0,1.64,24461824.0,0.55,48253760.0,1.09,-103013568.0,-2.33,30298000.0,0.69
21,2022-12-16,-254130960.0,-5.57,-103190016.0,-2.26,-150940944.0,-3.31,-11021792.0,-0.24,265152752.0,5.81
22,2022-12-19,-254242555.0,-6.44,-106593355.0,-2.7,-147649200.0,-3.74,-147279392.0,-3.73,401521936.0,10.17
23,2022-12-20,15419872.0,0.36,18046768.0,0.43,-2626896.0,-0.06,-122712416.0,-2.89,107292544.0,2.53
24,2022-12-21,-316368419.0,-8.28,-158637379.0,-4.15,-157731040.0,-4.13,15035232.0,0.39,301333168.0,7.89
25,2022-12-22,-277460288.0,-5.14,-13328160.0,-0.25,-264132128.0,-4.89,-128793616.0,-2.38,406253904.0,7.52
26,2022-12-23,-191216218.0,-5.18,-46152746.0,-1.25,-145063472.0,-3.93,-107821520.0,-2.92,299037744.0,8.1
27,2022-12-26,115805712.0,2.32,-34634816.0,-0.69,150440528.0,3.01,-45512640.0,-0.91,-70293056.0,-1.41
28,2022-12-27,-88487744.0,-2.14,-2852272.0,-0.07,-85635472.0,-2.07,-29574640.0,-0.71,118062384.0,2.85
29,2022-12-28,-615370880.0,-11.35,-317501088.0,-5.86,-297869792.0,-5.49,166973408.0,3.08,448397456.0,8.27
30,2022-12-29,147567760.0,2.25,55825792.0,0.85,91741968.0,1.4,-8691856.0,-0.13,-138875920.0,-2.12
31,2022-12-30,-95297008.0,-2.37,-12558752.0,-0.31,-82738256.0,-2.06,-74951120.0,-1.87,170248128.0,4.24
32,2023-01-03,145406208.0,2.05,119752448.0,1.68,25653760.0,0.36,-157862816.0,-2.22,12456640.0,0.18
33,2023-01-04,-359424229.0,-7.07,-176993109.0,-3.48,-182431120.0,-3.59,16890832.0,0.33,342533392.0,6.73
34,2023-01-05,-83130912.0,-1.89,-43762400.0,-0.99,-39368512.0,-0.89,21361584.0,0.48,61769328.0,1.4
35,2023-01-06,-330099387.0,-7.04,-130164363.0,-2.78,-199935024.0,-4.27,23339504.0,0.5,306759888.0,6.54
36,2023-01-09,-623213088.0,-8.83,-272073168.0,-3.86,-351139920.0,-4.98,25339776.0,0.36,597873312.0,8.47
37,2023-01-10,-761241248.0,-9.62,-669193664.0,-8.46,-92047584.0,-1.16,230815200.0,2.92,530426048.0,6.7
38,2023-01-11,-185339264.0,-2.94,-132444640.0,-2.1,-52894624.0,-0.84,-25894848.0,-0.41,211234128.0,3.35
39,2023-01-12,37705920.0,0.48,61776752.0,0.78,-24070832.0,-0.3,-47645392.0,-0.6,9939488.0,0.13
40,2023-01-13,-189777008.0,-3.43,-47969520.0,-0.87,-141807488.0,-2.57,144546320.0,2.62,45230688.0,0.82
41,2023-01-16,160500608.0,1.75,313164672.0,3.42,-152664064.0,-1.67,-262472096.0,-2.87,101971472.0,1.11
42,2023-01-17,29880416.0,0.4,160862992.0,2.18,-130982576.0,-1.77,-22672672.0,-0.31,-7207744.0,-0.1
43,2023-01-18,-181418192.0,-3.36,-51434672.0,-0.95,-129983520.0,-2.41,-21463712.0,-0.4,202881904.0,3.76
44,2023-01-19,117667552.0,1.81,185608336.0,2.85,-67940784.0,-1.04,-62459920.0,-0.96,-55207632.0,-0.85
45,2023-01-20,-223601920.0,-3.65,-80869136.0,-1.32,-142732784.0,-2.33,-45413216.0,-0.74,269015120.0,4.39
46,2023-01-30,374314112.0,2.64,151230400.0,1.07,223083712.0,1.58,-208271360.0,-1.47,-166042624.0,-1.17
47,2023-01-31,-349425600.0,-3.11,-157559328.0,-1.4,-191866272.0,-1.71,177749616.0,1.58,171675984.0,1.53
48,2023-02-01,-100248624.0,-0.9,36513504.0,0.33,-136762128.0,-1.23,154441136.0,1.39,-54192512.0,-0.49
49,2023-02-02,-997009456.0,-7.95,-671101136.0,-5.35,-325908320.0,-2.6,71410560.0,0.57,925598896.0,7.38
50,2023-02-03,211693696.0,2.03,262765584.0,2.52,-51071888.0,-0.49,-143907872.0,-1.38,-67785808.0,-0.65
51,2023-02-06,-331167792.0,-3.85,-142441888.0,-1.66,-188725904.0,-2.19,111261552.0,1.29,219906224.0,2.56
52,2023-02-07,-455287872.0,-4.87,-194630992.0,-2.08,-260656880.0,-2.79,68179712.0,0.73,387108160.0,4.14
53,2023-02-08,-677295904.0,-10.2,-356677408.0,-5.37,-320618496.0,-4.83,53456192.0,0.81,623839712.0,9.4
