,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,160082621.0,5.0,95786333.0,2.99,64296288.0,2.01,37864624.0,1.18,-197947232.0,-6.18
1,2022-11-18,-218152528.0,-5.89,-179055584.0,-4.83,-39096944.0,-1.06,-41248496.0,-1.11,259401024.0,7.0
2,2022-11-21,-231149713.0,-6.91,-211722209.0,-6.33,-19427504.0,-0.58,67749904.0,2.02,163399808.0,4.88
3,2022-11-22,1541272.0,0.06,15657640.0,0.62,-14116368.0,-0.56,71867920.0,2.85,-73409200.0,-2.92
4,2022-11-23,62180997.0,2.33,-15671467.0,-0.59,77852464.0,2.91,13893088.0,0.52,-76074096.0,-2.85
5,2022-11-24,-197781750.0,-9.19,-160483478.0,-7.45,-37298272.0,-1.73,43503648.0,2.02,154278096.0,7.16
6,2022-11-25,17981331.0,1.04,37973123.0,2.2,-19991792.0,-1.16,17397584.0,1.01,-35378896.0,-2.05
7,2022-11-28,205834432.0,5.28,155492864.0,3.99,50341568.0,1.29,-26290928.0,-0.67,-179543504.0,-4.6
8,2022-11-29,462928128.0,6.82,545000112.0,8.02,-82071984.0,-1.21,-110383264.0,-1.63,-352544864.0,-5.19
9,2022-11-30,-466704400.0,-9.51,-129577456.0,-2.64,-337126944.0,-6.87,111402800.0,2.27,355301616.0,7.24
10,2022-12-01,-201999920.0,-2.94,42339168.0,0.62,-244339088.0,-3.56,-220350992.0,-3.21,422350912.0,6.15
11,2022-12-02,-94866096.0,-2.85,-19232784.0,-0.58,-75633312.0,-2.27,-128357312.0,-3.85,223223424.0,6.7
12,2022-12-05,116265744.0,1.55,149906976.0,2.0,-33641232.0,-0.45,-33003360.0,-0.44,-83262416.0,-1.11
13,2022-12-06,-468775008.0,-6.85,-218175136.0,-3.19,-250599872.0,-3.66,190560240.0,2.78,278214752.0,4.07
14,2022-12-07,-415088944.0,-3.65,81469648.0,0.72,-496558592.0,-4.37,203991984.0,1.79,211096944.0,1.86
15,2022-12-08,-1070134672.0,-13.63,-368657456.0,-4.7,-701477216.0,-8.94,435554144.0,5.55,634580544.0,8.08
16,2022-12-09,-415299376.0,-7.9,-233814528.0,-4.45,-181484848.0,-3.45,95015328.0,1.81,320284032.0,6.1
17,2022-12-12,-468636144.0,-5.94,-80152944.0,-1.02,-388483200.0,-4.93,91662512.0,1.16,376973632.0,4.78
18,2022-12-13,-391696016.0,-4.78,-82504432.0,-1.01,-309191584.0,-3.77,201797264.0,2.46,189898752.0,2.32
19,2022-12-14,-267611104.0,-4.33,7730368.0,0.13,-275341472.0,-4.46,-16592288.0,-0.27,284203392.0,4.6
20,2022-12-15,-676509168.0,-12.81,-516017952.0,-9.77,-160491216.0,-3.04,170389584.0,3.23,506119584.0,9.58
21,2022-12-16,-247408640.0,-5.49,-69968368.0,-1.55,-177440272.0,-3.94,-38605312.0,-0.86,286013952.0,6.35
22,2022-12-19,-295783280.0,-7.03,-147600480.0,-3.51,-148182800.0,-3.52,947968.0,0.02,294835296.0,7.01
23,2022-12-20,-411454512.0,-9.9,-260203840.0,-6.26,-151250672.0,-3.64,-72549856.0,-1.75,484004368.0,11.65
24,2022-12-21,-180917088.0,-5.15,-138572800.0,-3.94,-42344288.0,-1.2,-9597536.0,-0.27,190514624.0,5.42
25,2022-12-22,-118562096.0,-3.14,-2315312.0,-0.06,-116246784.0,-3.08,61848880.0,1.64,56713216.0,1.5
26,2022-12-23,-112042384.0,-3.15,-173346528.0,-4.88,61304144.0,1.72,70459248.0,1.98,41583152.0,1.17
27,2022-12-26,-265428896.0,-4.79,-46572816.0,-0.84,-218856080.0,-3.95,129804128.0,2.34,135624784.0,2.45
28,2022-12-27,-20807632.0,-0.37,-75121968.0,-1.35,54314336.0,0.98,-323456.0,-0.01,21131104.0,0.38
29,2022-12-28,-469819056.0,-9.73,-260650016.0,-5.4,-209169040.0,-4.33,-40486304.0,-0.84,510305328.0,10.57
30,2022-12-29,-366012480.0,-10.37,-138856208.0,-3.94,-227156272.0,-6.44,-71623632.0,-2.03,437636128.0,12.4
31,2022-12-30,-132609568.0,-4.19,36737344.0,1.16,-169346912.0,-5.35,-23008800.0,-0.73,155618368.0,4.92
32,2023-01-03,-193012944.0,-4.22,-16751664.0,-0.37,-176261280.0,-3.85,-259929232.0,-5.68,452942144.0,9.89
33,2023-01-04,36015696.0,0.99,58294016.0,1.61,-22278320.0,-0.61,-33965664.0,-0.94,-2050064.0,-0.06
34,2023-01-05,155588336.0,3.29,111923872.0,2.37,43664464.0,0.92,-63812720.0,-1.35,-91775616.0,-1.94
35,2023-01-06,-321282480.0,-6.96,-143273808.0,-3.1,-178008672.0,-3.85,-48315008.0,-1.05,369597488.0,8.0
36,2023-01-09,62736512.0,1.52,86732304.0,2.1,-23995792.0,-0.58,140429072.0,3.41,-203165600.0,-4.93
37,2023-01-10,-147738912.0,-4.65,-42055280.0,-1.32,-105683632.0,-3.33,130119200.0,4.1,17619696.0,0.55
38,2023-01-11,-327446864.0,-8.53,-231315744.0,-6.02,-96131120.0,-2.5,56650576.0,1.48,270796288.0,7.05
39,2023-01-12,-167673824.0,-5.73,-94260448.0,-3.22,-73413376.0,-2.51,77958176.0,2.66,89715664.0,3.07
40,2023-01-13,-91445680.0,-2.74,-102288512.0,-3.07,10842832.0,0.33,165822672.0,4.98,-74377008.0,-2.23
41,2023-01-16,112600336.0,1.4,107885424.0,1.34,4714912.0,0.06,-286360672.0,-3.56,173760352.0,2.16
42,2023-01-17,-43164448.0,-1.03,-73939776.0,-1.76,30775328.0,0.73,-158232688.0,-3.76,201397152.0,4.79
43,2023-01-18,-88098528.0,-3.45,-22261760.0,-0.87,-65836768.0,-2.58,86301904.0,3.38,1796624.0,0.07
44,2023-01-19,54208.0,0.0,5776912.0,0.18,-5722704.0,-0.17,32038128.0,0.97,-32092352.0,-0.97
45,2023-01-20,30673392.0,0.98,52941424.0,1.69,-22268032.0,-0.71,31616640.0,1.01,-62290048.0,-1.99
46,2023-01-30,-361234208.0,-6.63,-311428816.0,-5.71,-49805392.0,-0.91,109950096.0,2.02,251284112.0,4.61
47,2023-01-31,-342218656.0,-9.31,-164987904.0,-4.49,-177230752.0,-4.82,21012640.0,0.57,321206016.0,8.74
48,2023-02-01,-173193392.0,-4.16,-9843520.0,-0.24,-163349872.0,-3.92,39655920.0,0.95,133537456.0,3.21
49,2023-02-02,-50848160.0,-1.28,-31233552.0,-0.78,-19614608.0,-0.49,86233040.0,2.16,-35384896.0,-0.89
50,2023-02-03,-239608832.0,-7.16,-195996912.0,-5.86,-43611920.0,-1.3,108380336.0,3.24,131228496.0,3.92
51,2023-02-06,-1294480.0,-0.04,48996960.0,1.63,-50291440.0,-1.67,-14820336.0,-0.49,16114816.0,0.54
52,2023-02-07,-224001690.0,-10.41,-101178618.0,-4.7,-122823072.0,-5.71,156947104.0,7.3,67054576.0,3.12
53,2023-02-08,-43604912.0,-1.47,41023376.0,1.39,-84628288.0,-2.86,65083424.0,2.2,-21478496.0,-0.73
54,2023-02-09,-117087680.0,-3.95,34452592.0,1.16,-151540272.0,-5.11,-96387200.0,-3.25,213474880.0,7.2
55,2023-02-10,-60539280.0,-2.03,10938880.0,0.37,-71478160.0,-2.4,17584016.0,0.59,42955264.0,1.44
56,2023-02-13,535829424.0,7.62,289957104.0,4.12,245872320.0,3.5,-142234432.0,-2.02,-393595008.0,-5.6
57,2023-02-14,192333328.0,4.88,-13619312.0,-0.35,205952640.0,5.22,-371855056.0,-9.43,179521728.0,4.55
58,2023-02-15,-148810880.0,-4.4,-109363968.0,-3.23,-39446912.0,-1.17,-38669632.0,-1.14,187480528.0,5.54
59,2023-02-16,-125984720.0,-2.5,-131877760.0,-2.62,5893040.0,0.12,-122177728.0,-2.43,248162448.0,4.93
