,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-69265264.0,-0.96,-14338880.0,-0.2,-54926384.0,-0.76,12892224.0,0.18,56373040.0,0.78
1,2022-11-18,-615976368.0,-8.48,-266462000.0,-3.67,-349514368.0,-4.81,-46111280.0,-0.63,662087664.0,9.11
2,2022-11-21,133827008.0,2.87,78934000.0,1.69,54893008.0,1.18,-49486080.0,-1.06,-84340960.0,-1.81
3,2022-11-22,514394272.0,5.77,343927280.0,3.86,170466992.0,1.91,-174470640.0,-1.96,-339923648.0,-3.81
4,2022-11-23,-94464896.0,-1.31,-34922240.0,-0.48,-59542656.0,-0.83,-88000144.0,-1.22,182465040.0,2.53
5,2022-11-24,-652610576.0,-12.1,-330301760.0,-6.12,-322308816.0,-5.98,151586048.0,2.81,501024528.0,9.29
6,2022-11-25,-260123616.0,-5.22,-188505040.0,-3.78,-71618576.0,-1.44,18162448.0,0.36,241961152.0,4.86
7,2022-11-28,-203322384.0,-3.97,-122790592.0,-2.4,-80531792.0,-1.57,-79769680.0,-1.56,283092064.0,5.53
8,2022-11-29,-697700960.0,-9.48,-517590512.0,-7.03,-180110448.0,-2.45,24219344.0,0.33,673481600.0,9.15
9,2022-11-30,-885428400.0,-10.29,-499025680.0,-5.8,-386402720.0,-4.49,-52560752.0,-0.61,937989152.0,10.9
10,2022-12-01,90495600.0,1.49,52562192.0,0.87,37933408.0,0.63,-162877024.0,-2.69,72381424.0,1.19
11,2022-12-02,-907901216.0,-13.41,-513132128.0,-7.58,-394769088.0,-5.83,30266704.0,0.45,877634480.0,12.96
12,2022-12-05,610417264.0,6.34,389847168.0,4.05,220570096.0,2.29,-75405584.0,-0.78,-535011680.0,-5.56
13,2022-12-06,-518928240.0,-8.09,-249994176.0,-3.9,-268934064.0,-4.19,-34498912.0,-0.54,553427152.0,8.63
14,2022-12-07,-315578464.0,-4.37,-150149264.0,-2.08,-165429200.0,-2.29,43731456.0,0.61,271847008.0,3.76
15,2022-12-08,-439988256.0,-5.73,-373359264.0,-4.86,-66628992.0,-0.87,123179248.0,1.6,316808992.0,4.13
16,2022-12-09,-240827840.0,-3.23,-193835888.0,-2.6,-46991952.0,-0.63,19407952.0,0.26,221419888.0,2.97
17,2022-12-12,-598779280.0,-8.9,-412640144.0,-6.13,-186139136.0,-2.77,126626832.0,1.88,472152480.0,7.02
18,2022-12-13,45512576.0,0.54,22179920.0,0.26,23332656.0,0.28,-69480576.0,-0.82,23967984.0,0.28
19,2022-12-14,52996496.0,0.75,139276720.0,1.98,-86280224.0,-1.23,90185216.0,1.28,-143181712.0,-2.04
20,2022-12-15,-329927776.0,-5.82,-297314320.0,-5.24,-32613456.0,-0.58,265982016.0,4.69,63945776.0,1.13
21,2022-12-16,-98059504.0,-1.8,-26197984.0,-0.48,-71861520.0,-1.32,53489104.0,0.98,34882608.0,0.64
22,2022-12-19,-879998816.0,-14.31,-521746144.0,-8.48,-358252672.0,-5.83,93834400.0,1.53,784029328.0,12.75
23,2022-12-20,-238120488.0,-5.84,-122640200.0,-3.01,-115480288.0,-2.83,13841472.0,0.34,218415824.0,5.35
24,2022-12-21,-115076344.0,-3.49,-31315576.0,-0.95,-83760768.0,-2.54,-30658272.0,-0.93,145799632.0,4.43
25,2022-12-22,-515527504.0,-10.76,-341649552.0,-7.13,-173877952.0,-3.63,-15936288.0,-0.33,528468192.0,11.03
26,2022-12-23,-405224565.0,-10.94,-234643573.0,-6.33,-170580992.0,-4.61,-7864992.0,-0.21,411312640.0,11.1
27,2022-12-26,-119050822.0,-3.48,-114660102.0,-3.35,-4390720.0,-0.13,-76813664.0,-2.24,196872928.0,5.75
28,2022-12-27,-4925696.0,-0.11,104573888.0,2.4,-109499584.0,-2.51,10312816.0,0.24,-5495856.0,-0.13
29,2022-12-28,-234845808.0,-5.44,-101011712.0,-2.34,-133834096.0,-3.1,-21830816.0,-0.51,255296480.0,5.91
30,2022-12-29,-248360095.0,-6.9,-139228975.0,-3.87,-109131120.0,-3.03,-22314112.0,-0.62,268935040.0,7.48
31,2022-12-30,44266256.0,1.08,86056192.0,2.1,-41789936.0,-1.02,-62595744.0,-1.53,17433312.0,0.42
32,2023-01-03,228680032.0,4.3,242204944.0,4.55,-13524912.0,-0.25,-50121232.0,-0.94,-177343216.0,-3.33
33,2023-01-04,-154266752.0,-3.48,-127679008.0,-2.88,-26587744.0,-0.6,17023632.0,0.38,136110992.0,3.07
34,2023-01-05,-1249664.0,-0.03,21020496.0,0.45,-22270160.0,-0.48,-83722496.0,-1.79,84628400.0,1.81
35,2023-01-06,56600368.0,1.19,21558096.0,0.45,35042272.0,0.74,-73967344.0,-1.56,16921104.0,0.36
36,2023-01-09,-71880896.0,-2.08,-68873856.0,-1.99,-3007040.0,-0.09,54448256.0,1.57,15444208.0,0.45
37,2023-01-10,-313949025.0,-9.76,-158943569.0,-4.94,-155005456.0,-4.82,49550432.0,1.54,263105120.0,8.18
38,2023-01-11,150549712.0,3.33,139276000.0,3.08,11273712.0,0.25,78351680.0,1.73,-226378672.0,-5.0
39,2023-01-12,168293440.0,3.06,-16168640.0,-0.29,184462080.0,3.36,-47593008.0,-0.87,-119717408.0,-2.18
40,2023-01-13,-84150416.0,-1.84,-66937584.0,-1.46,-17212832.0,-0.38,8988688.0,0.2,74430016.0,1.62
41,2023-01-16,-10885856.0,-0.23,-15720336.0,-0.34,4834480.0,0.1,-12686528.0,-0.27,23145632.0,0.49
42,2023-01-17,-182421047.0,-6.03,-108227591.0,-3.58,-74193456.0,-2.45,47936048.0,1.58,133891904.0,4.42
43,2023-01-18,53394784.0,1.38,19024496.0,0.49,34370288.0,0.89,9545648.0,0.25,-63360112.0,-1.63
44,2023-01-19,61621872.0,2.06,-3415152.0,-0.11,65037024.0,2.17,-57541200.0,-1.92,-3789616.0,-0.13
45,2023-01-20,97392752.0,2.03,37619872.0,0.79,59772880.0,1.25,27671248.0,0.58,-124677984.0,-2.6
46,2023-01-30,-384570672.0,-6.53,-242380512.0,-4.12,-142190160.0,-2.42,-21742128.0,-0.37,405985168.0,6.9
47,2023-01-31,79704656.0,1.43,112335376.0,2.01,-32630720.0,-0.58,-141668512.0,-2.53,66813408.0,1.2
48,2023-02-01,237293328.0,4.24,116747456.0,2.08,120545872.0,2.15,-97535120.0,-1.74,-142183584.0,-2.54
49,2023-02-02,-89877472.0,-1.64,-14948656.0,-0.27,-74928816.0,-1.37,-26242768.0,-0.48,113883312.0,2.08
50,2023-02-03,-81762000.0,-1.67,24207424.0,0.5,-105969424.0,-2.17,-69749392.0,-1.43,150617632.0,3.08
51,2023-02-06,30542672.0,0.69,19671456.0,0.44,10871216.0,0.24,107170560.0,2.41,-138540224.0,-3.11
52,2023-02-07,-47616096.0,-0.99,-23873120.0,-0.5,-23742976.0,-0.5,91847728.0,1.92,-44625584.0,-0.93
53,2023-02-08,32422288.0,0.67,69399728.0,1.43,-36977440.0,-0.76,-76881504.0,-1.58,43196464.0,0.89
54,2023-02-09,-90913680.0,-2.23,-23376992.0,-0.57,-67536688.0,-1.65,-81272880.0,-1.99,171942688.0,4.21
55,2023-02-10,-120264656.0,-2.64,-36572928.0,-0.8,-83691728.0,-1.83,78118736.0,1.71,41063232.0,0.9
56,2023-02-13,-201744704.0,-4.12,-186912048.0,-3.82,-14832656.0,-0.3,-115953776.0,-2.37,317208480.0,6.49
57,2023-02-14,136659760.0,3.12,106607184.0,2.44,30052576.0,0.69,-98331472.0,-2.25,-39406528.0,-0.9
58,2023-02-15,-534516528.0,-12.29,-379897472.0,-8.73,-154619056.0,-3.55,-21734672.0,-0.5,554862160.0,12.75
59,2023-02-16,-205862448.0,-3.89,9234048.0,0.17,-215096496.0,-4.06,-174882432.0,-3.3,378942160.0,7.16
60,2023-02-17,88401920.0,1.69,148545184.0,2.84,-60143264.0,-1.15,-89696800.0,-1.71,136176.0,0.0
61,2023-02-20,115087472.0,2.29,95991968.0,1.91,19095504.0,0.38,-83615168.0,-1.67,-33019632.0,-0.66
62,2023-02-21,-77807904.0,-1.62,-22639984.0,-0.47,-55167920.0,-1.15,20983632.0,0.44,56224912.0,1.17
63,2023-02-22,-74247408.0,-2.17,44050864.0,1.29,-118298272.0,-3.45,-21370800.0,-0.62,94547312.0,2.76
64,2023-02-23,-555144208.0,-12.76,-180914800.0,-4.16,-374229408.0,-8.6,76494400.0,1.76,477599904.0,10.98
65,2023-02-24,-116264368.0,-2.88,-13819808.0,-0.34,-102444560.0,-2.54,-13608096.0,-0.34,129791888.0,3.22
66,2023-02-27,-194505648.0,-5.61,-3012448.0,-0.09,-191493200.0,-5.53,29493232.0,0.85,163157376.0,4.71
67,2023-02-28,-152974384.0,-4.83,-52285056.0,-1.65,-100689328.0,-3.18,-34898560.0,-1.1,186288896.0,5.88
68,2023-03-01,191095376.0,3.7,266250000.0,5.15,-75154624.0,-1.45,-48640400.0,-0.94,-143424864.0,-2.77
69,2023-03-02,95713728.0,1.63,174852352.0,2.98,-79138624.0,-1.35,53363888.0,0.91,-150958736.0,-2.57
70,2023-03-03,53781040.0,0.85,80306032.0,1.27,-26524992.0,-0.42,166000864.0,2.63,-220652336.0,-3.5
71,2023-03-06,-203353984.0,-3.88,-91012480.0,-1.74,-112341504.0,-2.15,-30888096.0,-0.59,232946688.0,4.45
72,2023-03-07,-352004528.0,-5.11,-147931456.0,-2.15,-204073072.0,-2.96,45392096.0,0.66,303404784.0,4.41
73,2023-03-08,-233032800.0,-6.34,-151960080.0,-4.14,-81072720.0,-2.21,-30799936.0,-0.84,263436704.0,7.17
74,2023-03-09,468498816.0,7.27,449145952.0,6.97,19352864.0,0.3,-246902704.0,-3.83,-221899632.0,-3.44
75,2023-03-10,-114249856.0,-1.8,4432896.0,0.07,-118682752.0,-1.87,28865424.0,0.46,83753248.0,1.32
76,2023-03-13,-35767264.0,-0.71,-9936080.0,-0.2,-25831184.0,-0.51,-111066944.0,-2.19,146220880.0,2.89
77,2023-03-14,-615867568.0,-9.92,-470031280.0,-7.57,-145836288.0,-2.35,107744304.0,1.74,507065680.0,8.17
78,2023-03-15,192196336.0,2.73,115880448.0,1.64,76315888.0,1.08,-904688.0,-0.01,-191760528.0,-2.72
79,2023-03-16,-789399136.0,-10.46,-328124272.0,-4.35,-461274864.0,-6.11,39336880.0,0.52,748692192.0,9.92
80,2023-03-17,-206872128.0,-3.34,-177545744.0,-2.87,-29326384.0,-0.47,-23197376.0,-0.37,230103248.0,3.72
81,2023-03-20,-451379328.0,-7.3,-226911424.0,-3.67,-224467904.0,-3.63,-493088.0,-0.01,451573648.0,7.3
82,2023-03-21,53015808.0,1.04,-7117328.0,-0.14,60133136.0,1.17,-140709056.0,-2.75,87374608.0,1.71
83,2023-03-22,-201108080.0,-4.71,-159474000.0,-3.74,-41634080.0,-0.98,6056400.0,0.14,192096880.0,4.5
84,2023-03-23,-21495952.0,-0.38,-71651632.0,-1.28,50155680.0,0.89,-31782816.0,-0.57,53010528.0,0.94
85,2023-03-24,-255881536.0,-5.55,-141136384.0,-3.06,-114745152.0,-2.49,12660304.0,0.27,243138544.0,5.27
86,2023-03-27,111523808.0,2.52,9843712.0,0.22,101680096.0,2.3,32479680.0,0.73,-144510832.0,-3.27
87,2023-03-28,-66679760.0,-1.73,-120136224.0,-3.11,53456464.0,1.39,72310288.0,1.87,-6449536.0,-0.17
88,2023-03-29,-132259818.0,-3.64,-106189434.0,-2.92,-26070384.0,-0.72,21379392.0,0.59,110263104.0,3.03
89,2023-03-30,53998832.0,1.11,40575056.0,0.83,13423776.0,0.28,76329872.0,1.57,-131137600.0,-2.69
90,2023-03-31,-593687152.0,-10.96,-448533840.0,-8.28,-145153312.0,-2.68,194059104.0,3.58,398254048.0,7.35
91,2023-04-03,-895953680.0,-11.01,-528538736.0,-6.49,-367414944.0,-4.51,186817424.0,2.3,708732384.0,8.71
92,2023-04-04,-363495504.0,-5.74,-101458128.0,-1.6,-262037376.0,-4.14,144940064.0,2.29,215496480.0,3.4
93,2023-04-06,-686496.0,-0.01,73552608.0,1.6,-74239104.0,-1.61,-81659232.0,-1.77,82039808.0,1.78
94,2023-04-07,-65379968.0,-1.49,34422000.0,0.79,-99801968.0,-2.28,34860848.0,0.8,28944768.0,0.66
95,2023-04-10,-13112240.0,-0.31,-21823600.0,-0.51,8711360.0,0.2,67355664.0,1.58,-55945504.0,-1.31
