,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-179269313.0,-8.33,-142166977.0,-6.61,-37102336.0,-1.72,58047872.0,2.7,121221424.0,5.63
1,2022-11-18,-149481618.0,-7.6,-126210882.0,-6.42,-23270736.0,-1.18,45197696.0,2.3,104283904.0,5.3
2,2022-11-21,-68109544.0,-4.0,-45672600.0,-2.68,-22436944.0,-1.32,-13236400.0,-0.78,81345936.0,4.78
3,2022-11-22,352044592.0,8.55,227994112.0,5.54,124050480.0,3.01,-99555520.0,-2.42,-252489072.0,-6.13
4,2022-11-23,-57867520.0,-2.08,-80934816.0,-2.91,23067296.0,0.83,46575648.0,1.68,11291856.0,0.41
5,2022-11-24,-97517155.0,-4.88,-73941939.0,-3.7,-23575216.0,-1.18,-9888848.0,-0.49,107405984.0,5.37
6,2022-11-25,-81564528.0,-3.87,-44064688.0,-2.09,-37499840.0,-1.78,-18518912.0,-0.88,100083456.0,4.75
7,2022-11-28,-101109376.0,-4.47,-74402768.0,-3.29,-26706608.0,-1.18,38495344.0,1.7,62614032.0,2.77
8,2022-11-29,-172498177.0,-7.61,-48115585.0,-2.12,-124382592.0,-5.48,24234960.0,1.07,148263216.0,6.54
9,2022-11-30,-256463932.0,-11.62,-123081372.0,-5.58,-133382560.0,-6.04,34156256.0,1.55,222307680.0,10.07
10,2022-12-01,-50540380.0,-2.59,-50041516.0,-2.56,-498864.0,-0.03,-41692864.0,-2.14,92233248.0,4.72
11,2022-12-02,-536030745.0,-19.11,-338632137.0,-12.07,-197398608.0,-7.04,102153536.0,3.64,433877216.0,15.46
12,2022-12-05,161749008.0,5.37,40764928.0,1.35,120984080.0,4.01,-14408880.0,-0.48,-147340144.0,-4.89
13,2022-12-06,-62184087.0,-2.36,-54777847.0,-2.08,-7406240.0,-0.28,-13467872.0,-0.51,75651952.0,2.87
14,2022-12-07,-255727494.0,-11.24,-155114470.0,-6.82,-100613024.0,-4.42,2778720.0,0.12,252948800.0,11.12
15,2022-12-08,-142607395.0,-7.28,-116371059.0,-5.94,-26236336.0,-1.34,-2263840.0,-0.12,144871232.0,7.4
16,2022-12-09,-60241939.0,-3.08,-19134259.0,-0.98,-41107680.0,-2.1,-56541072.0,-2.9,116782992.0,5.98
17,2022-12-12,-184243762.0,-9.37,-75173842.0,-3.82,-109069920.0,-5.55,10245152.0,0.52,173998608.0,8.85
18,2022-12-13,-148595650.0,-9.12,-89246050.0,-5.48,-59349600.0,-3.64,-12514688.0,-0.77,161110336.0,9.89
19,2022-12-14,-34217928.0,-2.33,-39640664.0,-2.7,5422736.0,0.37,5786816.0,0.39,28431120.0,1.94
