,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-349859456.0,-5.06,-108276352.0,-1.57,-241583104.0,-3.49,124802352.0,1.8,225057104.0,3.25
1,2022-11-18,-225327808.0,-3.49,-65633792.0,-1.02,-159694016.0,-2.47,-90429808.0,-1.4,315757616.0,4.89
2,2022-11-21,-363019766.0,-5.88,-148860390.0,-2.41,-214159376.0,-3.47,-90149888.0,-1.46,453169648.0,7.34
3,2022-11-22,-283774762.0,-4.35,-133111626.0,-2.04,-150663136.0,-2.31,125486368.0,1.92,158288400.0,2.43
4,2022-11-23,-121486173.0,-2.2,37835027.0,0.69,-159321200.0,-2.89,74124432.0,1.34,47361760.0,0.86
5,2022-11-24,201696608.0,3.04,131554944.0,1.98,70141664.0,1.06,-22582224.0,-0.34,-179114368.0,-2.7
6,2022-11-25,488504000.0,4.76,442042032.0,4.31,46461968.0,0.45,-69726992.0,-0.68,-418776992.0,-4.08
7,2022-11-28,-225128624.0,-2.89,-77537936.0,-1.0,-147590688.0,-1.89,-56097376.0,-0.72,281226000.0,3.61
8,2022-11-29,796383472.0,5.36,446354400.0,3.0,350029072.0,2.36,-325998080.0,-2.19,-470385152.0,-3.17
9,2022-11-30,-796029760.0,-7.48,-303477968.0,-2.85,-492551792.0,-4.63,-14295840.0,-0.13,810325600.0,7.61
10,2022-12-01,-140229088.0,-1.66,-161922352.0,-1.92,21693264.0,0.26,21907216.0,0.26,118321872.0,1.4
11,2022-12-02,-436139853.0,-6.28,-121237789.0,-1.75,-314902064.0,-4.54,-58813056.0,-0.85,494952928.0,7.13
12,2022-12-05,131754720.0,1.32,137221488.0,1.38,-5466768.0,-0.05,21727744.0,0.22,-153482464.0,-1.54
13,2022-12-06,-60922272.0,-0.79,2620384.0,0.03,-63542656.0,-0.82,-112292128.0,-1.46,173214416.0,2.25
14,2022-12-07,-305467824.0,-4.65,-179432640.0,-2.73,-126035184.0,-1.92,198171856.0,3.01,107295968.0,1.63
15,2022-12-08,-74900928.0,-1.19,110373632.0,1.76,-185274560.0,-2.95,-76527360.0,-1.22,151428304.0,2.41
16,2022-12-09,314047088.0,2.6,224058016.0,1.85,89989072.0,0.74,236100368.0,1.95,-550147568.0,-4.55
17,2022-12-12,-276980752.0,-3.31,-62565824.0,-0.75,-214414928.0,-2.56,145029856.0,1.73,131950880.0,1.57
18,2022-12-13,-24134974.0,-0.39,-21003710.0,-0.34,-3131264.0,-0.05,-10377760.0,-0.17,34512736.0,0.55
19,2022-12-14,-400841640.0,-7.1,-152901016.0,-2.71,-247940624.0,-4.39,-9086048.0,-0.16,409927680.0,7.26
20,2022-12-15,-478427769.0,-7.86,-230135641.0,-3.78,-248292128.0,-4.08,-17927904.0,-0.29,496355664.0,8.16
21,2022-12-16,-104183664.0,-1.76,-12625552.0,-0.21,-91558112.0,-1.55,-7155936.0,-0.12,111339584.0,1.88
22,2022-12-19,-165478608.0,-2.98,-28270416.0,-0.51,-137208192.0,-2.48,-107020400.0,-1.93,272498992.0,4.92
23,2022-12-20,-287708992.0,-5.26,-66047600.0,-1.21,-221661392.0,-4.05,-16097792.0,-0.29,303806784.0,5.55
24,2022-12-21,-73509784.0,-1.48,-154378200.0,-3.1,80868416.0,1.62,126678960.0,2.54,-53169168.0,-1.07
25,2022-12-22,-12175664.0,-0.2,-63044896.0,-1.05,50869232.0,0.85,155322208.0,2.59,-143146560.0,-2.39
26,2022-12-23,-20686182.0,-0.5,33696186.0,0.81,-54382368.0,-1.31,-157145568.0,-3.79,177831744.0,4.29
27,2022-12-26,-64829247.0,-1.59,-58206543.0,-1.43,-6622704.0,-0.16,-58269280.0,-1.43,123098528.0,3.02
28,2022-12-27,-62578358.0,-1.4,-51714998.0,-1.16,-10863360.0,-0.24,39358048.0,0.88,23220320.0,0.52
29,2022-12-28,36217851.0,0.77,-10547541.0,-0.23,46765392.0,1.0,-104415600.0,-2.23,68197744.0,1.46
30,2022-12-29,-117798083.0,-2.46,-77087475.0,-1.61,-40710608.0,-0.85,-58862384.0,-1.23,176660496.0,3.7
31,2022-12-30,-56703.0,-0.0,40213761.0,0.88,-40270464.0,-0.88,-106888784.0,-2.33,106945504.0,2.34
32,2023-01-03,-65730487.0,-1.28,-20829431.0,-0.4,-44901056.0,-0.87,-60555856.0,-1.18,126286336.0,2.45
33,2023-01-04,425599168.0,5.05,273598928.0,3.24,152000240.0,1.8,-175979376.0,-2.09,-249619792.0,-2.96
34,2023-01-05,24017664.0,0.34,41889216.0,0.6,-17871552.0,-0.25,-22309088.0,-0.32,-1708560.0,-0.02
35,2023-01-06,-304270544.0,-3.27,-85566016.0,-0.92,-218704528.0,-2.35,19957360.0,0.21,284313184.0,3.06
36,2023-01-09,-168391296.0,-2.48,-122848384.0,-1.81,-45542912.0,-0.67,84365232.0,1.24,84026048.0,1.24
37,2023-01-10,138051472.0,2.34,168752960.0,2.86,-30701488.0,-0.52,6733056.0,0.11,-144784528.0,-2.46
38,2023-01-11,-285691664.0,-3.86,-19600880.0,-0.26,-266090784.0,-3.6,24405856.0,0.33,261285792.0,3.53
39,2023-01-12,-100448896.0,-1.73,106105536.0,1.82,-206554432.0,-3.55,26461280.0,0.45,73987632.0,1.27
40,2023-01-13,-353500656.0,-3.37,-120913360.0,-1.15,-232587296.0,-2.22,64141280.0,0.61,289359376.0,2.76
41,2023-01-16,-235466624.0,-2.54,-212142848.0,-2.29,-23323776.0,-0.25,89576432.0,0.97,145890192.0,1.57
42,2023-01-17,-341665088.0,-4.37,5501424.0,0.07,-347166512.0,-4.44,-25766064.0,-0.33,367431152.0,4.7
43,2023-01-18,-238546528.0,-3.11,-125281664.0,-1.63,-113264864.0,-1.48,-65376096.0,-0.85,303922640.0,3.96
44,2023-01-19,-243822976.0,-3.69,-130701552.0,-1.98,-113121424.0,-1.71,38176800.0,0.58,205646176.0,3.11
45,2023-01-20,-50638320.0,-0.9,-117520592.0,-2.09,66882272.0,1.19,21751408.0,0.39,28886928.0,0.51
46,2023-01-30,-378880368.0,-5.4,-186488064.0,-2.66,-192392304.0,-2.74,142128720.0,2.03,236751648.0,3.37
47,2023-01-31,-148628584.0,-2.41,-43747960.0,-0.71,-104880624.0,-1.7,54689792.0,0.89,93938784.0,1.52
48,2023-02-01,-369283920.0,-4.85,-42695296.0,-0.56,-326588624.0,-4.29,-32506304.0,-0.43,401790224.0,5.27
