,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-79929183.0,-3.64,-23104911.0,-1.05,-56824272.0,-2.59,-26267168.0,-1.2,102346528.0,4.67
1,2022-11-18,-163375147.0,-6.73,-73090187.0,-3.01,-90284960.0,-3.72,3606880.0,0.15,158109616.0,6.51
2,2022-11-21,-186393408.0,-9.17,-63007744.0,-3.1,-123385664.0,-6.07,-22336256.0,-1.1,210876000.0,10.38
3,2022-11-22,-15340963.0,-0.62,22773293.0,0.93,-38114256.0,-1.55,-65514208.0,-2.67,77727120.0,3.16
4,2022-11-23,-116798246.0,-3.91,-42423430.0,-1.42,-74374816.0,-2.49,47055840.0,1.57,68433024.0,2.29
5,2022-11-24,-75756727.0,-2.78,-48511623.0,-1.78,-27245104.0,-1.0,41410544.0,1.52,32931808.0,1.21
6,2022-11-25,-12595443.0,-0.43,9350397.0,0.32,-21945840.0,-0.75,14242416.0,0.49,-1282016.0,-0.04
7,2022-11-28,-73095432.0,-2.48,-5326328.0,-0.18,-67769104.0,-2.3,20075872.0,0.68,52255072.0,1.78
8,2022-11-29,51992231.0,1.11,52889543.0,1.13,-897312.0,-0.02,-22014960.0,-0.47,-29303680.0,-0.63
9,2022-11-30,-328592874.0,-8.13,-126042250.0,-3.12,-202550624.0,-5.01,-19002032.0,-0.47,346461600.0,8.57
10,2022-12-01,-142254796.0,-4.48,-20769484.0,-0.65,-121485312.0,-3.83,13656800.0,0.43,128387600.0,4.04
11,2022-12-02,-94781719.0,-3.33,-41240743.0,-1.45,-53540976.0,-1.88,-26369456.0,-0.93,121285792.0,4.26
12,2022-12-05,-110197231.0,-3.36,-33727295.0,-1.03,-76469936.0,-2.33,-14657888.0,-0.45,123712112.0,3.77
13,2022-12-06,-239356844.0,-8.13,-89287372.0,-3.03,-150069472.0,-5.09,14612896.0,0.5,224909696.0,7.64
