,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,754604912.0,5.64,801396576.0,5.98,-46791664.0,-0.35,-262657280.0,-1.96,-492132464.0,-3.68
1,2022-11-18,-112014336.0,-0.64,129674288.0,0.74,-241688624.0,-1.37,-310057216.0,-1.76,421970176.0,2.4
2,2022-11-21,-134910656.0,-1.01,133556656.0,1.0,-268467312.0,-2.01,-92190976.0,-0.69,227132224.0,1.7
3,2022-11-22,-680088480.0,-5.44,-377783328.0,-3.02,-302305152.0,-2.42,32307200.0,0.26,647835440.0,5.18
4,2022-11-23,-560500480.0,-4.82,-327331184.0,-2.82,-233169296.0,-2.01,4320.0,0.0,560520624.0,4.82
5,2022-11-24,-1000725072.0,-11.0,-611977952.0,-6.73,-388747120.0,-4.27,3430560.0,0.04,997173344.0,10.96
6,2022-11-25,-405947696.0,-5.77,-2730864.0,-0.04,-403216832.0,-5.74,-79176656.0,-1.13,485047872.0,6.9
7,2022-11-28,-424779392.0,-5.47,-173352320.0,-2.23,-251427072.0,-3.24,-92953536.0,-1.2,517600656.0,6.67
8,2022-11-29,183285312.0,2.51,64592432.0,0.88,118692880.0,1.62,-180861952.0,-2.47,-2392080.0,-0.03
9,2022-11-30,-80811632.0,-1.08,-23599696.0,-0.32,-57211936.0,-0.77,-123420480.0,-1.65,204190688.0,2.73
10,2022-12-01,246492320.0,2.59,208550928.0,2.19,37941392.0,0.4,-116712448.0,-1.23,-129810000.0,-1.36
11,2022-12-02,-271711376.0,-3.22,-149951152.0,-1.78,-121760224.0,-1.44,-122343488.0,-1.45,394024656.0,4.67
12,2022-12-05,522958272.0,4.94,451049360.0,4.26,71908912.0,0.68,-247849856.0,-2.34,-275191840.0,-2.6
13,2022-12-06,-230518368.0,-2.49,-120438016.0,-1.3,-110080352.0,-1.19,-214221280.0,-2.31,444747120.0,4.81
14,2022-12-07,-412194704.0,-5.93,-306760016.0,-4.41,-105434688.0,-1.52,-54855168.0,-0.79,466934560.0,6.72
15,2022-12-08,-455188432.0,-6.65,-246877408.0,-3.61,-208311024.0,-3.04,-99633952.0,-1.46,554747344.0,8.11
16,2022-12-09,73311968.0,0.87,203338144.0,2.41,-130026176.0,-1.54,-211742304.0,-2.51,138398288.0,1.64
17,2022-12-12,210595744.0,2.79,87101664.0,1.15,123494080.0,1.64,-3845712.0,-0.05,-206827408.0,-2.74
18,2022-12-13,-371671136.0,-6.04,-179900576.0,-2.92,-191770560.0,-3.12,-72247424.0,-1.17,443845136.0,7.22
19,2022-12-14,270813408.0,4.71,174844656.0,3.04,95968752.0,1.67,-197938736.0,-3.45,-72922784.0,-1.27
20,2022-12-15,74353904.0,1.43,9051184.0,0.17,65302720.0,1.26,17887584.0,0.34,-92259920.0,-1.78
21,2022-12-16,-488289424.0,-8.63,-273260752.0,-4.83,-215028672.0,-3.8,105616.0,0.0,488171856.0,8.63
22,2022-12-19,-328039240.0,-6.45,-146458504.0,-2.88,-181580736.0,-3.57,118063712.0,2.32,209817520.0,4.13
23,2022-12-20,-330034464.0,-5.57,-128481680.0,-2.17,-201552784.0,-3.4,20804592.0,0.35,308872576.0,5.21
