,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-277033600.0,-1.41,-130008704.0,-0.66,-147024896.0,-0.75,-109916672.0,-0.56,386950144.0,1.97
1,2022-11-18,-1962084912.0,-10.85,-1217848352.0,-6.73,-744236560.0,-4.11,394304768.0,2.18,1567780352.0,8.67
2,2022-11-21,-1332596688.0,-10.06,-754047360.0,-5.69,-578549328.0,-4.37,206200624.0,1.56,1126396112.0,8.5
3,2022-11-22,-341288160.0,-2.54,-263235184.0,-1.96,-78052976.0,-0.58,331734624.0,2.47,9553632.0,0.07
4,2022-11-23,-485297776.0,-4.21,-283816304.0,-2.46,-201481472.0,-1.75,21956016.0,0.19,463341760.0,4.02
5,2022-11-24,-515655024.0,-5.08,-438083744.0,-4.32,-77571280.0,-0.76,264743712.0,2.61,250911312.0,2.47
6,2022-11-25,474954576.0,3.65,253957472.0,1.95,220997104.0,1.7,-166599216.0,-1.28,-308355472.0,-2.37
7,2022-11-28,-1547446976.0,-11.78,-955632960.0,-7.27,-591814016.0,-4.5,424272752.0,3.23,1123174288.0,8.55
8,2022-11-29,2447972192.0,9.57,1747667808.0,6.83,700304384.0,2.74,-885988352.0,-3.46,-1561983744.0,-6.11
9,2022-11-30,-1331776128.0,-6.53,-739814528.0,-3.63,-591961600.0,-2.9,349215744.0,1.71,982560512.0,4.81
10,2022-12-01,218531584.0,0.8,-229507840.0,-0.84,448039424.0,1.64,-402972672.0,-1.48,184440832.0,0.68
11,2022-12-02,-1377958160.0,-10.03,-981183056.0,-7.14,-396775104.0,-2.89,-21728512.0,-0.16,1399686768.0,10.19
12,2022-12-05,2936507008.0,10.82,2023159168.0,7.45,913347840.0,3.37,-715461632.0,-2.64,-2221045248.0,-8.18
13,2022-12-06,-1176079632.0,-6.24,-855805200.0,-4.54,-320274432.0,-1.7,367724288.0,1.95,808355584.0,4.29
14,2022-12-07,-1020403856.0,-6.17,-823113712.0,-4.98,-197290144.0,-1.19,149160448.0,0.9,871243264.0,5.27
15,2022-12-08,-386683536.0,-3.24,-291234720.0,-2.44,-95448816.0,-0.8,170897056.0,1.43,215786464.0,1.81
16,2022-12-09,-153012608.0,-0.72,-55826560.0,-0.26,-97186048.0,-0.46,27614464.0,0.13,125398272.0,0.59
17,2022-12-12,-1392449648.0,-9.47,-991589424.0,-6.75,-400860224.0,-2.73,297021696.0,2.02,1095428016.0,7.45
18,2022-12-13,-291673248.0,-3.15,-275413952.0,-2.97,-16259296.0,-0.18,72121824.0,0.78,219551408.0,2.37
19,2022-12-14,252521824.0,2.38,161788496.0,1.52,90733328.0,0.85,-132404512.0,-1.25,-120117312.0,-1.13
20,2022-12-15,-515185008.0,-6.07,-419043872.0,-4.94,-96141136.0,-1.13,195542336.0,2.3,319642688.0,3.77
21,2022-12-16,-526131344.0,-5.72,-444231168.0,-4.83,-81900176.0,-0.89,159689952.0,1.74,366441376.0,3.99
22,2022-12-19,-1392238096.0,-11.07,-872177264.0,-6.93,-520060832.0,-4.13,202428304.0,1.61,1189809904.0,9.46
23,2022-12-20,-591337776.0,-7.65,-396264848.0,-5.12,-195072928.0,-2.52,135733424.0,1.76,455604352.0,5.89
24,2022-12-21,-433643440.0,-6.95,-286418880.0,-4.59,-147224560.0,-2.36,220997152.0,3.54,212646288.0,3.41
25,2022-12-22,-692285520.0,-7.92,-340273184.0,-3.89,-352012336.0,-4.03,246210160.0,2.82,446075360.0,5.11
