,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-970179664.0,-14.24,-384245104.0,-5.64,-585934560.0,-8.6,382238912.0,5.61,587940752.0,8.63
1,2022-11-18,-269184688.0,-6.04,-204208880.0,-4.58,-64975808.0,-1.46,-52113248.0,-1.17,321297936.0,7.2
2,2022-11-21,-428192032.0,-9.08,-14434688.0,-0.31,-413757344.0,-8.78,183074976.0,3.88,245117040.0,5.2
3,2022-11-22,-26642864.0,-0.76,-23247648.0,-0.66,-3395216.0,-0.1,-38089248.0,-1.09,64732112.0,1.85
4,2022-11-23,-11239264.0,-0.37,-62624128.0,-2.07,51384864.0,1.7,-12973936.0,-0.43,24213200.0,0.8
5,2022-11-24,66260752.0,1.31,11477120.0,0.23,54783632.0,1.08,48270320.0,0.95,-114531056.0,-2.26
6,2022-11-25,86175968.0,1.52,35538592.0,0.63,50637376.0,0.89,-62039520.0,-1.1,-24136464.0,-0.43
7,2022-11-28,-353064576.0,-8.27,-306087792.0,-7.17,-46976784.0,-1.1,149533856.0,3.5,203530704.0,4.77
8,2022-11-29,208306304.0,3.7,199161056.0,3.54,9145248.0,0.16,-200934320.0,-3.57,-7372000.0,-0.13
9,2022-11-30,-286586896.0,-6.04,-61376352.0,-1.29,-225210544.0,-4.74,12756528.0,0.27,273830384.0,5.77
10,2022-12-01,567828656.0,7.12,75709504.0,0.95,492119152.0,6.17,-184987968.0,-2.32,-382840688.0,-4.8
11,2022-12-02,-689151984.0,-8.62,-320534224.0,-4.01,-368617760.0,-4.61,106758448.0,1.34,582393568.0,7.29
12,2022-12-05,132483152.0,2.17,150423328.0,2.46,-17940176.0,-0.29,-186982352.0,-3.06,54499200.0,0.89
13,2022-12-06,-164211808.0,-3.94,-208622112.0,-5.0,44410304.0,1.06,-193503040.0,-4.64,357714848.0,8.58
14,2022-12-07,-364072480.0,-10.28,-233764608.0,-6.6,-130307872.0,-3.68,19140960.0,0.54,344931504.0,9.74
15,2022-12-08,-85484256.0,-3.39,27043680.0,1.07,-112527936.0,-4.46,15620640.0,0.62,69863600.0,2.77
16,2022-12-09,291235440.0,5.88,282015664.0,5.69,9219776.0,0.19,-128225872.0,-2.59,-163009568.0,-3.29
