,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-138935639.0,-4.37,-40875831.0,-1.29,-98059808.0,-3.08,-27631824.0,-0.87,166439456.0,5.23
1,2022-11-18,-174013233.0,-5.28,-82711729.0,-2.51,-91301504.0,-2.77,-17617936.0,-0.54,191612256.0,5.82
2,2022-11-21,-76396444.0,-2.68,-36902124.0,-1.29,-39494320.0,-1.39,-27700816.0,-0.97,104116816.0,3.65
3,2022-11-22,98913264.0,2.42,102048176.0,2.5,-3134912.0,-0.08,-36834624.0,-0.9,-62142304.0,-1.52
4,2022-11-23,-69383929.0,-2.16,3845575.0,0.12,-73229504.0,-2.28,-17017952.0,-0.53,86569056.0,2.7
5,2022-11-24,-81799032.0,-3.24,-15301224.0,-0.61,-66497808.0,-2.64,-67925440.0,-2.69,149691008.0,5.94
6,2022-11-25,-80224800.0,-1.83,106054576.0,2.42,-186279376.0,-4.26,-45099184.0,-1.03,125339664.0,2.86
7,2022-11-28,-470137312.0,-9.05,-222942304.0,-4.29,-247195008.0,-4.76,84942576.0,1.63,385181040.0,7.41
8,2022-11-29,69893472.0,1.19,29656256.0,0.51,40237216.0,0.69,-137524480.0,-2.34,68235744.0,1.16
9,2022-11-30,-128952512.0,-2.28,23111776.0,0.41,-152064288.0,-2.69,-125292496.0,-2.22,254126480.0,4.49
10,2022-12-01,-159413168.0,-3.06,-117338720.0,-2.26,-42074448.0,-0.81,18779856.0,0.36,140614352.0,2.7
11,2022-12-02,-122498644.0,-2.85,-51723076.0,-1.2,-70775568.0,-1.65,19413920.0,0.45,103389920.0,2.41
12,2022-12-05,232612064.0,3.56,163612880.0,2.5,68999184.0,1.05,-85224592.0,-1.3,-147595920.0,-2.26
13,2022-12-06,-352346960.0,-6.05,-126273824.0,-2.17,-226073136.0,-3.88,29815296.0,0.51,322358496.0,5.53
14,2022-12-07,36089952.0,0.68,52758144.0,1.0,-16668192.0,-0.32,-88244096.0,-1.67,51905408.0,0.98
15,2022-12-08,-16803264.0,-0.29,101538704.0,1.74,-118341968.0,-2.02,-36977088.0,-0.63,53675504.0,0.92
16,2022-12-09,-79273616.0,-1.03,213278672.0,2.77,-292552288.0,-3.79,-96122400.0,-1.25,175534032.0,2.28
17,2022-12-12,-627654640.0,-9.42,-305033312.0,-4.58,-322621328.0,-4.84,70681072.0,1.06,556965728.0,8.36
18,2022-12-13,-362227456.0,-6.39,-272125328.0,-4.8,-90102128.0,-1.59,108890384.0,1.92,253380480.0,4.47
19,2022-12-14,-370589679.0,-7.39,-226522383.0,-4.51,-144067296.0,-2.87,-9092720.0,-0.18,379496016.0,7.56
20,2022-12-15,-103174955.0,-2.57,-77811947.0,-1.94,-25363008.0,-0.63,-9218448.0,-0.23,112403952.0,2.8
21,2022-12-16,-211617797.0,-5.2,-95433077.0,-2.35,-116184720.0,-2.86,8828160.0,0.22,202786224.0,4.99
22,2022-12-19,-323902218.0,-9.01,-136421258.0,-3.8,-187480960.0,-5.22,33612400.0,0.94,290292928.0,8.08
23,2022-12-20,-112599888.0,-3.99,-6473120.0,-0.23,-106126768.0,-3.76,-24110944.0,-0.85,136698192.0,4.84
24,2022-12-21,-104281707.0,-3.29,-42183803.0,-1.33,-62097904.0,-1.96,17773680.0,0.56,86461104.0,2.73
25,2022-12-22,-177419286.0,-5.73,-79292358.0,-2.56,-98126928.0,-3.17,55201872.0,1.78,122140672.0,3.95
26,2022-12-23,-57658887.0,-2.31,-26762359.0,-1.07,-30896528.0,-1.24,-80521616.0,-3.23,138186784.0,5.54
27,2022-12-26,250006597.0,9.28,229658501.0,8.53,20348096.0,0.76,-106596336.0,-3.96,-143377472.0,-5.32
28,2022-12-27,-205334741.0,-6.2,-113444965.0,-3.42,-91889776.0,-2.77,49865728.0,1.5,155262384.0,4.68
29,2022-12-28,-593186188.0,-12.24,-224083148.0,-4.63,-369103040.0,-7.62,202057680.0,4.17,391115568.0,8.07
30,2022-12-29,-660675949.0,-15.18,-386573709.0,-8.88,-274102240.0,-6.3,109866656.0,2.52,550862096.0,12.66
31,2022-12-30,74623664.0,1.7,308603920.0,7.03,-233980256.0,-5.33,-116521840.0,-2.66,42011648.0,0.96
32,2023-01-03,-294764192.0,-5.45,-189637616.0,-3.5,-105126576.0,-1.94,108089696.0,2.0,186691328.0,3.45
33,2023-01-04,-23246016.0,-0.43,31659920.0,0.59,-54905936.0,-1.03,-93560304.0,-1.75,116802288.0,2.18
34,2023-01-05,-618653312.0,-11.23,-377595312.0,-6.85,-241058000.0,-4.37,73333584.0,1.33,545266800.0,9.89
