,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,1224472224.0,2.95,1262753952.0,3.04,-38281728.0,-0.09,-622166784.0,-1.5,-592932608.0,-1.43
1,2022-11-18,-2638761776.0,-5.87,-1237736752.0,-2.75,-1401025024.0,-3.12,-98934272.0,-0.22,2727813120.0,6.07
2,2022-11-21,-880099504.0,-2.61,15438928.0,0.05,-895538432.0,-2.66,-605084416.0,-1.8,1493530880.0,4.44
3,2022-11-22,-1742741120.0,-5.4,-670823040.0,-2.08,-1071918080.0,-3.32,-174673408.0,-0.54,1893545728.0,5.87
4,2022-11-23,-1551097808.0,-5.32,-591065808.0,-2.03,-960032000.0,-3.29,-175017728.0,-0.6,1716135168.0,5.88
5,2022-11-24,-1178088640.0,-4.81,-310805952.0,-1.27,-867282688.0,-3.54,-268760064.0,-1.1,1439404288.0,5.88
6,2022-11-25,-1054712160.0,-4.65,-228338528.0,-1.01,-826373632.0,-3.65,-314963200.0,-1.39,1360544256.0,6.0
7,2022-11-28,-1128145296.0,-5.11,-730566816.0,-3.31,-397578480.0,-1.8,70069760.0,0.32,1052640512.0,4.77
8,2022-11-29,353256928.0,1.47,224883168.0,0.93,128373760.0,0.53,-43771648.0,-0.18,-311191552.0,-1.29
9,2022-11-30,-781493248.0,-3.47,-91155296.0,-0.4,-690337952.0,-3.07,-44095744.0,-0.2,821420032.0,3.65
10,2022-12-01,1085585680.0,3.4,620560656.0,1.94,465025024.0,1.46,26921728.0,0.08,-1114082816.0,-3.49
11,2022-12-02,-450602336.0,-1.45,50261664.0,0.16,-500864000.0,-1.61,-219645952.0,-0.71,668453120.0,2.15
12,2022-12-05,-55956912.0,-0.19,240366416.0,0.82,-296323328.0,-1.01,-120157952.0,-0.41,167313664.0,0.57
13,2022-12-06,-1574189408.0,-5.91,-672463200.0,-2.52,-901726208.0,-3.38,-155105280.0,-0.58,1718306816.0,6.45
14,2022-12-07,-394491600.0,-1.56,101634608.0,0.4,-496126208.0,-1.96,-150619392.0,-0.59,536846336.0,2.12
15,2022-12-08,-2294170160.0,-9.26,-1013877552.0,-4.09,-1280292608.0,-5.17,345066752.0,1.39,1937628928.0,7.82
16,2022-12-09,-865374960.0,-3.72,-467647472.0,-2.01,-397727488.0,-1.71,105099520.0,0.45,754320128.0,3.25
17,2022-12-12,313970480.0,1.35,435850544.0,1.88,-121880064.0,-0.53,-144798208.0,-0.62,-174758656.0,-0.75
18,2022-12-13,-2136380592.0,-8.99,-1036086704.0,-4.36,-1100293888.0,-4.63,223692032.0,0.94,1905669888.0,8.02
19,2022-12-14,208416608.0,1.02,366950960.0,1.8,-158534352.0,-0.78,-469291776.0,-2.3,256936448.0,1.26
20,2022-12-15,90085872.0,0.41,145665264.0,0.67,-55579392.0,-0.25,40032000.0,0.18,-132818432.0,-0.61
21,2022-12-16,-1372635856.0,-7.13,-620759152.0,-3.23,-751876704.0,-3.91,126569216.0,0.66,1241459712.0,6.45
22,2022-12-19,-747568416.0,-4.18,-203418496.0,-1.14,-544149920.0,-3.04,82352896.0,0.46,660413440.0,3.69
23,2022-12-20,-1219897376.0,-6.52,-611209472.0,-3.26,-608687904.0,-3.25,67829760.0,0.36,1148853504.0,6.14
24,2022-12-21,-995260560.0,-6.9,-397721712.0,-2.76,-597538848.0,-4.14,148688896.0,1.03,841998592.0,5.84
25,2022-12-22,-219775840.0,-1.44,144509616.0,0.94,-364285456.0,-2.38,-78876928.0,-0.52,295975936.0,1.93
26,2022-12-23,269270912.0,1.5,438666992.0,2.44,-169396080.0,-0.94,-31333632.0,-0.17,-240406016.0,-1.34
27,2022-12-26,-225870944.0,-1.36,-113870960.0,-0.69,-111999984.0,-0.67,10770176.0,0.06,214991872.0,1.29
28,2022-12-27,-780761632.0,-4.48,-348150560.0,-2.0,-432611072.0,-2.48,356417024.0,2.05,421088768.0,2.42
29,2022-12-28,-739003904.0,-4.25,-194328288.0,-1.12,-544675616.0,-3.13,357659648.0,2.06,380746752.0,2.19
30,2022-12-29,-77985392.0,-0.37,52543232.0,0.25,-130528624.0,-0.62,-54849024.0,-0.26,134074624.0,0.63
31,2022-12-30,262710608.0,1.44,570396288.0,3.13,-307685680.0,-1.69,-152075008.0,-0.83,-110726144.0,-0.61
32,2023-01-03,1356875856.0,3.91,1081986384.0,3.12,274889472.0,0.79,-193771264.0,-0.56,-1159532544.0,-3.34
33,2023-01-04,-1007391376.0,-3.19,-186967184.0,-0.59,-820424192.0,-2.6,-455456512.0,-1.44,1462003712.0,4.62
34,2023-01-05,-1223005040.0,-4.23,-432460912.0,-1.49,-790544128.0,-2.73,-364492288.0,-1.26,1589107968.0,5.49
35,2023-01-06,-809941968.0,-2.74,-215627984.0,-0.73,-594313984.0,-2.01,-536668672.0,-1.82,1345402624.0,4.55
36,2023-01-09,-360774688.0,-1.27,236927968.0,0.84,-597702656.0,-2.11,-183303168.0,-0.65,547582208.0,1.93
37,2023-01-10,-726629552.0,-2.8,-121704624.0,-0.47,-604924928.0,-2.33,58042624.0,0.22,668588544.0,2.57
38,2023-01-11,-1409616944.0,-5.56,-534943792.0,-2.11,-874673152.0,-3.45,-358064384.0,-1.41,1766868480.0,6.97
39,2023-01-12,-125995072.0,-0.52,212362944.0,0.88,-338358016.0,-1.4,-319712000.0,-1.32,444492032.0,1.84
40,2023-01-13,-1123835360.0,-5.55,-563533904.0,-2.78,-560301456.0,-2.77,119203072.0,0.59,1002650624.0,4.95
41,2023-01-16,1995393344.0,6.07,1570547776.0,4.78,424845568.0,1.29,-706877952.0,-2.15,-1286833664.0,-3.91
42,2023-01-17,-961096048.0,-3.88,-519284080.0,-2.1,-441811968.0,-1.78,-10992896.0,-0.04,971970304.0,3.92
43,2023-01-18,838480512.0,2.85,599413376.0,2.04,239067136.0,0.81,-333085952.0,-1.13,-503012096.0,-1.71
44,2023-01-19,590016512.0,1.6,765026048.0,2.07,-175009536.0,-0.47,-193311744.0,-0.52,-394189056.0,-1.07
45,2023-01-20,-689905616.0,-2.14,100541488.0,0.31,-790447104.0,-2.45,-513776896.0,-1.59,1207170048.0,3.74
46,2023-01-30,668723456.0,1.49,1407784192.0,3.13,-739060736.0,-1.64,-661665792.0,-1.47,-5529088.0,-0.01
47,2023-01-31,-2862005408.0,-7.16,-1745459104.0,-4.36,-1116546304.0,-2.79,93393408.0,0.23,2820874752.0,7.05
48,2023-02-01,1107555456.0,2.48,994461824.0,2.23,113093632.0,0.25,-267401728.0,-0.6,-841082368.0,-1.89
49,2023-02-02,-2065129984.0,-4.14,-707130880.0,-1.42,-1357999104.0,-2.72,-183482624.0,-0.37,2195851264.0,4.4
50,2023-02-03,970724096.0,2.11,877430528.0,1.9,93293568.0,0.2,-95497728.0,-0.21,-863374080.0,-1.87
51,2023-02-06,604205312.0,1.12,936915968.0,1.73,-332710656.0,-0.61,-95822336.0,-0.18,-531274752.0,-0.98
52,2023-02-07,-1949759488.0,-3.58,-958331648.0,-1.76,-991427840.0,-1.82,106187520.0,0.19,1834084864.0,3.37
53,2023-02-08,-1860154368.0,-4.05,-473680384.0,-1.03,-1386473984.0,-3.02,-381097472.0,-0.83,2223987712.0,4.84
54,2023-02-09,546945792.0,1.03,939194368.0,1.77,-392248576.0,-0.74,-1381645312.0,-2.61,834142720.0,1.57
55,2023-02-10,-2927601920.0,-5.17,-1297475328.0,-2.29,-1630126592.0,-2.88,778462976.0,1.38,2133489152.0,3.77
56,2023-02-13,-288168448.0,-0.58,145895168.0,0.29,-434063616.0,-0.87,-426104576.0,-0.86,716016640.0,1.44
57,2023-02-14,-1426641408.0,-3.18,-920685824.0,-2.05,-505955584.0,-1.13,-87434752.0,-0.19,1497095680.0,3.34
58,2023-02-15,1593353216.0,2.72,1229233408.0,2.1,364119808.0,0.62,-445133056.0,-0.76,-1146521600.0,-1.96
59,2023-02-16,-3030480128.0,-4.45,-1416463104.0,-2.08,-1614017024.0,-2.37,711864064.0,1.05,2299316224.0,3.38
60,2023-02-17,-4224850432.0,-7.86,-2076402176.0,-3.86,-2148448256.0,-4.0,-101138688.0,-0.19,4310306560.0,8.02
61,2023-02-20,1058242816.0,2.27,1254851840.0,2.69,-196609024.0,-0.42,-715550208.0,-1.54,-343397888.0,-0.74
62,2023-02-21,-1977262592.0,-3.63,-734283264.0,-1.35,-1242979328.0,-2.28,105519104.0,0.19,1858459136.0,3.41
63,2023-02-22,-450460928.0,-0.94,-19542272.0,-0.04,-430918656.0,-0.9,-209425408.0,-0.44,651413248.0,1.36
64,2023-02-23,-3651079648.0,-8.2,-2559169760.0,-5.75,-1091909888.0,-2.45,813771520.0,1.83,2825624320.0,6.35
65,2023-02-24,624387584.0,1.53,1022956800.0,2.51,-398569216.0,-0.98,-829330688.0,-2.04,199351040.0,0.49
66,2023-02-27,-3079437440.0,-7.81,-2024952704.0,-5.14,-1054484736.0,-2.68,640869632.0,1.63,2423971328.0,6.15
67,2023-02-28,-59242240.0,-0.12,88465664.0,0.17,-147707904.0,-0.29,-616768256.0,-1.22,679034880.0,1.34
68,2023-03-01,2395639552.0,3.37,1754789120.0,2.47,640850432.0,0.9,-435822080.0,-0.61,-1958153216.0,-2.75
