,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-331231264.0,-3.75,-244464144.0,-2.77,-86767120.0,-0.98,25425584.0,0.29,305805680.0,3.46
1,2022-11-18,-209161472.0,-2.04,-131544976.0,-1.28,-77616496.0,-0.76,-258938992.0,-2.52,468100480.0,4.56
2,2022-11-21,-343971040.0,-5.06,-142049328.0,-2.09,-201921712.0,-2.97,16540992.0,0.24,327430032.0,4.82
3,2022-11-22,738377200.0,6.46,1100686336.0,9.62,-362309136.0,-3.17,-473628432.0,-4.14,-264748768.0,-2.31
4,2022-11-23,-636210544.0,-6.06,-409968560.0,-3.9,-226241984.0,-2.15,169413824.0,1.61,466796704.0,4.45
5,2022-11-24,-597158352.0,-8.99,-484233776.0,-7.29,-112924576.0,-1.7,185947776.0,2.8,411210560.0,6.19
6,2022-11-25,1698024688.0,15.32,1712773360.0,15.45,-14748672.0,-0.13,-802315008.0,-7.24,-895709696.0,-8.08
7,2022-11-28,151572192.0,1.79,296714672.0,3.5,-145142480.0,-1.71,-142341904.0,-1.68,-9230272.0,-0.11
8,2022-11-29,-22189440.0,-0.31,-127526656.0,-1.75,105337216.0,1.45,43003872.0,0.59,-20814416.0,-0.29
9,2022-11-30,802194000.0,7.0,733586224.0,6.4,68607776.0,0.6,-205136944.0,-1.79,-597057056.0,-5.21
10,2022-12-01,627022448.0,4.42,815103360.0,5.75,-188080912.0,-1.33,-245591792.0,-1.73,-381430672.0,-2.69
11,2022-12-02,-528001888.0,-5.3,-499921056.0,-5.02,-28080832.0,-0.28,135343904.0,1.36,392657984.0,3.94
12,2022-12-05,663173680.0,4.41,819386032.0,5.45,-156212352.0,-1.04,-310532256.0,-2.07,-352641344.0,-2.35
13,2022-12-06,-1394872816.0,-11.97,-1384851856.0,-11.88,-10020960.0,-0.09,372929712.0,3.2,1021943104.0,8.77
14,2022-12-07,-545717296.0,-5.32,-475096768.0,-4.63,-70620528.0,-0.69,80770640.0,0.79,464946640.0,4.53
15,2022-12-08,-537761616.0,-6.72,-168068352.0,-2.1,-369693264.0,-4.62,46866032.0,0.59,490895600.0,6.13
16,2022-12-09,-349176400.0,-4.94,-386841680.0,-5.47,37665280.0,0.53,178815440.0,2.53,170360944.0,2.41
17,2022-12-12,116656384.0,1.47,202996272.0,2.55,-86339888.0,-1.09,-39563232.0,-0.5,-77093152.0,-0.97
18,2022-12-13,-741027840.0,-12.4,-705405872.0,-11.8,-35621968.0,-0.6,195525536.0,3.27,545502304.0,9.13
19,2022-12-14,-656053664.0,-9.74,-612599616.0,-9.1,-43454048.0,-0.65,295958768.0,4.39,360094880.0,5.35
20,2022-12-15,-111954496.0,-1.97,250032.0,0.0,-112204528.0,-1.97,-33486352.0,-0.59,145440848.0,2.55
21,2022-12-16,-506438352.0,-9.21,-375467488.0,-6.83,-130970864.0,-2.38,113700608.0,2.07,392737776.0,7.14
22,2022-12-19,-775148336.0,-11.83,-741391280.0,-11.31,-33757056.0,-0.51,313394480.0,4.78,461753840.0,7.04
23,2022-12-20,-61780416.0,-1.28,-55271408.0,-1.15,-6509008.0,-0.14,-53318352.0,-1.11,115098768.0,2.39
24,2022-12-21,-197003632.0,-4.89,-66104720.0,-1.64,-130898912.0,-3.25,67577568.0,1.68,129426064.0,3.21
25,2022-12-22,-386071744.0,-7.55,-316208192.0,-6.18,-69863552.0,-1.37,185207072.0,3.62,200864688.0,3.93
26,2022-12-23,677206848.0,9.73,542387056.0,7.79,134819792.0,1.94,-197791328.0,-2.84,-479415504.0,-6.89
27,2022-12-26,-239660272.0,-4.71,-231218080.0,-4.55,-8442192.0,-0.17,299552800.0,5.89,-59892528.0,-1.18
28,2022-12-27,-106382304.0,-2.33,-13475280.0,-0.29,-92907024.0,-2.03,86782720.0,1.9,19599584.0,0.43
29,2022-12-28,-638871744.0,-12.56,-379360208.0,-7.46,-259511536.0,-5.1,166001776.0,3.26,472869952.0,9.3
30,2022-12-29,-276490368.0,-6.45,-73181696.0,-1.71,-203308672.0,-4.74,-27918736.0,-0.65,304409104.0,7.1
31,2022-12-30,94733488.0,2.1,209623440.0,4.65,-114889952.0,-2.55,-79008576.0,-1.75,-15724912.0,-0.35
32,2023-01-03,1195515984.0,11.51,1541336432.0,14.84,-345820448.0,-3.33,-637128032.0,-6.14,-558387952.0,-5.38
33,2023-01-04,-576210464.0,-4.58,-402334768.0,-3.2,-173875696.0,-1.38,95060320.0,0.76,481150112.0,3.82
34,2023-01-05,-207096448.0,-2.0,114248192.0,1.1,-321344640.0,-3.1,-87372448.0,-0.84,294468880.0,2.84
35,2023-01-06,-502062928.0,-5.89,-162479136.0,-1.91,-339583792.0,-3.98,10545344.0,0.12,491517584.0,5.77
36,2023-01-09,66170448.0,1.01,89658304.0,1.36,-23487856.0,-0.36,-74696352.0,-1.13,8525920.0,0.13
37,2023-01-10,-30919648.0,-0.57,-3653104.0,-0.07,-27266544.0,-0.5,-2153104.0,-0.04,33072768.0,0.61
38,2023-01-11,-346370016.0,-5.45,-214290800.0,-3.37,-132079216.0,-2.08,161648208.0,2.54,184721808.0,2.91
39,2023-01-12,105085344.0,1.53,247973584.0,3.6,-142888240.0,-2.08,72224512.0,1.05,-177309840.0,-2.58
40,2023-01-13,230921280.0,2.95,219178128.0,2.8,11743152.0,0.15,-78657216.0,-1.01,-152264080.0,-1.95
41,2023-01-16,-447290336.0,-5.64,-262885008.0,-3.32,-184405328.0,-2.33,-160219264.0,-2.02,607509600.0,7.66
42,2023-01-17,-448388096.0,-8.62,-289725968.0,-5.57,-158662128.0,-3.05,-13690384.0,-0.26,462078464.0,8.89
43,2023-01-18,-2733424.0,-0.04,34299936.0,0.54,-37033360.0,-0.58,136998816.0,2.16,-134265392.0,-2.11
44,2023-01-19,-50789792.0,-0.81,-155537568.0,-2.47,104747776.0,1.66,-53302240.0,-0.85,104092048.0,1.65
45,2023-01-20,1138455904.0,8.77,1012466080.0,7.8,125989824.0,0.97,-402330320.0,-3.1,-736125600.0,-5.67
46,2023-01-30,-706264192.0,-5.52,-815226400.0,-6.37,108962208.0,0.85,357931424.0,2.8,348332768.0,2.72
47,2023-01-31,-389215840.0,-4.49,-98766640.0,-1.14,-290449200.0,-3.35,-39863696.0,-0.46,429079536.0,4.95
48,2023-02-01,-9368544.0,-0.1,-81430768.0,-0.87,72062224.0,0.77,38440416.0,0.41,-29071856.0,-0.31
49,2023-02-02,-333929040.0,-3.52,-52328016.0,-0.55,-281601024.0,-2.97,-69450080.0,-0.73,403379136.0,4.25
50,2023-02-03,-43193088.0,-0.46,-17028224.0,-0.18,-26164864.0,-0.28,90174960.0,0.96,-46981872.0,-0.5
51,2023-02-06,-476301488.0,-4.71,-376191056.0,-3.72,-100110432.0,-0.99,-60425840.0,-0.6,536727344.0,5.31
52,2023-02-07,-265215856.0,-3.23,-165595232.0,-2.02,-99620624.0,-1.21,67518048.0,0.82,197697808.0,2.41
53,2023-02-08,-1380871424.0,-14.06,-946325504.0,-9.64,-434545920.0,-4.42,27229808.0,0.28,1353641600.0,13.78
54,2023-02-09,397537184.0,4.49,339572944.0,3.83,57964240.0,0.65,-534159920.0,-6.03,136622752.0,1.54
55,2023-02-10,-454493184.0,-4.12,27051504.0,0.25,-481544688.0,-4.36,-70588480.0,-0.64,525081664.0,4.76
56,2023-02-13,-127435440.0,-1.31,-131896976.0,-1.36,4461536.0,0.05,136571584.0,1.41,-9136160.0,-0.09
57,2023-02-14,-411098880.0,-5.13,-101960208.0,-1.27,-309138672.0,-3.85,-152932032.0,-1.91,564030944.0,7.03
58,2023-02-15,589094096.0,4.53,344820304.0,2.65,244273792.0,1.88,-129980960.0,-1.0,-459113152.0,-3.53
59,2023-02-16,156778624.0,0.83,742771328.0,3.95,-585992704.0,-3.12,-227181568.0,-1.21,70402816.0,0.37
60,2023-02-17,-1212070816.0,-10.15,-848386880.0,-7.1,-363683936.0,-3.04,3002528.0,0.03,1209068272.0,10.12
61,2023-02-20,565383088.0,4.09,480968672.0,3.48,84414416.0,0.61,-194090416.0,-1.4,-371292688.0,-2.69
62,2023-02-21,-70294464.0,-0.51,51551280.0,0.37,-121845744.0,-0.88,60726400.0,0.44,9568080.0,0.07
63,2023-02-22,-831042848.0,-6.29,-544281024.0,-4.12,-286761824.0,-2.17,133211776.0,1.01,697831088.0,5.28
64,2023-02-23,-981932384.0,-8.82,-717257936.0,-6.45,-264674448.0,-2.38,293519536.0,2.64,688412832.0,6.19
65,2023-02-24,-354781632.0,-4.11,-376813104.0,-4.37,22031472.0,0.26,181043536.0,2.1,173738080.0,2.01
66,2023-02-27,-552783920.0,-6.27,-306533856.0,-3.48,-246250064.0,-2.79,485494848.0,5.51,67289056.0,0.76
67,2023-02-28,113243696.0,0.81,372796032.0,2.66,-259552336.0,-1.85,-156118192.0,-1.12,42874496.0,0.31
68,2023-03-01,2280110592.0,9.69,2474202368.0,10.52,-194091776.0,-0.83,-905140992.0,-3.85,-1374969488.0,-5.84
69,2023-03-02,-173573120.0,-0.8,-607904512.0,-2.8,434331392.0,2.0,-72652288.0,-0.33,246225664.0,1.13
70,2023-03-03,-992421424.0,-4.55,-767029296.0,-3.52,-225392128.0,-1.03,383929344.0,1.76,608492288.0,2.79
71,2023-03-06,-374784480.0,-1.77,-359834336.0,-1.7,-14950144.0,-0.07,-164466176.0,-0.78,539250688.0,2.55
72,2023-03-07,-976411696.0,-5.19,-518501168.0,-2.76,-457910528.0,-2.44,60858112.0,0.32,915553520.0,4.87
73,2023-03-08,517739856.0,3.33,700480672.0,4.51,-182740816.0,-1.18,-319977728.0,-2.06,-197761984.0,-1.27
74,2023-03-09,-70378496.0,-0.33,4804864.0,0.02,-75183360.0,-0.35,187089664.0,0.87,-116711168.0,-0.54
75,2023-03-10,-1564852816.0,-7.98,-1289866320.0,-6.58,-274986496.0,-1.4,363390208.0,1.85,1201462736.0,6.13
76,2023-03-13,1370180096.0,5.77,1687865600.0,7.11,-317685504.0,-1.34,-688589824.0,-2.9,-681590784.0,-2.87
77,2023-03-14,-1680876288.0,-6.4,-984314624.0,-3.75,-696561664.0,-2.65,217234944.0,0.83,1463641600.0,5.58
78,2023-03-15,-668042896.0,-3.39,-528486544.0,-2.68,-139556352.0,-0.71,-64623360.0,-0.33,732666112.0,3.72
79,2023-03-16,-1130296800.0,-6.11,-667168736.0,-3.61,-463128064.0,-2.5,161734656.0,0.87,968562048.0,5.24
80,2023-03-17,1098668544.0,4.87,1106179584.0,4.91,-7511040.0,-0.03,-459650304.0,-2.04,-639018240.0,-2.83
81,2023-03-20,-3691104256.0,-13.57,-2960940544.0,-10.89,-730163712.0,-2.69,693301248.0,2.55,2997803008.0,11.02
82,2023-03-21,-499711680.0,-2.78,-698010048.0,-3.89,198298368.0,1.1,30554368.0,0.17,469157392.0,2.61
83,2023-03-22,-57151760.0,-0.29,246479600.0,1.23,-303631360.0,-1.52,30359296.0,0.15,26792448.0,0.13
84,2023-03-23,360566496.0,1.56,1228057824.0,5.32,-867491328.0,-3.76,-611965696.0,-2.65,251399424.0,1.09
85,2023-03-24,-2533743232.0,-10.02,-1779512704.0,-7.03,-754230528.0,-2.98,440637952.0,1.74,2093105152.0,8.27
86,2023-03-27,-1663658688.0,-7.28,-1106500288.0,-4.85,-557158400.0,-2.44,324654080.0,1.42,1339004672.0,5.86
87,2023-03-28,-265137360.0,-1.3,-416039376.0,-2.05,150902016.0,0.74,166544384.0,0.82,98592512.0,0.48
88,2023-03-29,-934343376.0,-5.35,-999615696.0,-5.72,65272320.0,0.37,50089472.0,0.29,884254160.0,5.06
89,2023-03-30,-1856828064.0,-11.71,-1104487712.0,-6.97,-752340352.0,-4.75,251498240.0,1.59,1605329600.0,10.13
90,2023-03-31,577066656.0,3.73,577252736.0,3.73,-186080.0,-0.0,-271149824.0,-1.75,-305916960.0,-1.98
91,2023-04-03,53895632.0,0.26,95662032.0,0.46,-41766400.0,-0.2,61864960.0,0.3,-115760384.0,-0.56
92,2023-04-04,367172864.0,1.47,261637632.0,1.05,105535232.0,0.42,-213757440.0,-0.86,-153415424.0,-0.61
93,2023-04-06,-818570880.0,-5.01,-742261424.0,-4.55,-76309456.0,-0.47,150813952.0,0.92,667757040.0,4.09
94,2023-04-07,-337870384.0,-2.58,-335259664.0,-2.56,-2610720.0,-0.02,11840624.0,0.09,326029792.0,2.49
95,2023-04-10,-1049870048.0,-6.21,-389323872.0,-2.3,-660546176.0,-3.91,133865472.0,0.79,916004640.0,5.42
96,2023-04-11,-1558718624.0,-10.53,-964384224.0,-6.52,-594334400.0,-4.02,177460992.0,1.2,1381257536.0,9.33
97,2023-04-12,1689493424.0,8.43,1716097712.0,8.56,-26604288.0,-0.13,-797863936.0,-3.98,-891629312.0,-4.45
98,2023-04-13,-1067861344.0,-6.69,-826615632.0,-5.18,-241245712.0,-1.51,376222464.0,2.36,691638800.0,4.33
99,2023-04-14,545279680.0,3.45,428176544.0,2.71,117103136.0,0.74,-375982592.0,-2.38,-169296864.0,-1.07
100,2023-04-17,-132005360.0,-0.78,-180482032.0,-1.07,48476672.0,0.29,63757056.0,0.38,68248144.0,0.4
