,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-770233696.0,-3.51,-641131360.0,-2.92,-129102336.0,-0.59,283869952.0,1.29,486176256.0,2.21
1,2022-11-18,-931150640.0,-3.78,-620041264.0,-2.52,-311109376.0,-1.26,115227904.0,0.47,815557376.0,3.31
2,2022-11-21,-466169136.0,-2.48,79327376.0,0.42,-545496512.0,-2.9,-124013568.0,-0.66,590320128.0,3.14
3,2022-11-22,-188621856.0,-0.89,117075424.0,0.55,-305697280.0,-1.44,-6579712.0,-0.03,193891584.0,0.92
4,2022-11-23,-974393680.0,-4.84,-309362448.0,-1.54,-665031232.0,-3.3,-81745664.0,-0.41,1055053568.0,5.24
5,2022-11-24,-239258448.0,-1.54,40377008.0,0.26,-279635456.0,-1.8,-272826880.0,-1.76,512453120.0,3.31
6,2022-11-25,-1155023824.0,-8.08,-579648256.0,-4.06,-575375568.0,-4.03,57211648.0,0.4,1099876608.0,7.7
7,2022-11-28,114572944.0,0.57,413243792.0,2.06,-298670848.0,-1.49,-543447808.0,-2.71,429108224.0,2.14
8,2022-11-29,3562688.0,0.02,345485664.0,2.07,-341922976.0,-2.05,-464259072.0,-2.78,462210304.0,2.77
9,2022-11-30,-198729936.0,-1.35,-26299200.0,-0.18,-172430736.0,-1.17,-50438912.0,-0.34,248187392.0,1.68
10,2022-12-01,142879984.0,0.76,301478384.0,1.6,-158598400.0,-0.84,-19437824.0,-0.1,-123718144.0,-0.66
11,2022-12-02,292522896.0,1.69,501109376.0,2.9,-208586480.0,-1.21,-345670144.0,-2.0,52453376.0,0.3
12,2022-12-05,171897008.0,0.9,181003952.0,0.95,-9106944.0,-0.05,15283712.0,0.08,-188260096.0,-0.99
13,2022-12-06,-700901856.0,-3.97,-214025264.0,-1.21,-486876592.0,-2.76,-32143616.0,-0.18,732338688.0,4.15
14,2022-12-07,-400513840.0,-2.79,-121329088.0,-0.85,-279184752.0,-1.95,-247902464.0,-1.73,646502144.0,4.51
15,2022-12-08,-571142592.0,-4.3,-225527888.0,-1.7,-345614704.0,-2.6,-156673536.0,-1.18,726936832.0,5.47
16,2022-12-09,-248118816.0,-1.55,170544704.0,1.07,-418663520.0,-2.62,-301652736.0,-1.89,549465344.0,3.43
17,2022-12-12,-318692048.0,-2.43,-174628464.0,-1.33,-144063584.0,-1.1,18953728.0,0.14,299542272.0,2.29
18,2022-12-13,-604672032.0,-5.15,-395481200.0,-3.37,-209190832.0,-1.78,89910432.0,0.77,514815328.0,4.38
19,2022-12-14,-76386176.0,-0.69,-60549856.0,-0.54,-15836320.0,-0.14,-110548432.0,-0.99,187114544.0,1.68
20,2022-12-15,50342800.0,0.41,122255168.0,1.0,-71912368.0,-0.59,-48086000.0,-0.4,-2033760.0,-0.02
21,2022-12-16,-852152576.0,-6.94,-280109296.0,-2.28,-572043280.0,-4.66,178130848.0,1.45,675154192.0,5.5
22,2022-12-19,-594148512.0,-6.02,-207783136.0,-2.11,-386365376.0,-3.92,-49259680.0,-0.5,643179968.0,6.52
23,2022-12-20,-219144384.0,-2.19,-183048496.0,-1.83,-36095888.0,-0.36,-34213296.0,-0.34,254356416.0,2.54
24,2022-12-21,-430420720.0,-4.45,-245813760.0,-2.54,-184606960.0,-1.91,148876976.0,1.54,281615072.0,2.91
25,2022-12-22,-395955600.0,-4.0,-128642976.0,-1.3,-267312624.0,-2.7,-166679216.0,-1.68,563059040.0,5.69
26,2022-12-23,-290237568.0,-3.62,-41886064.0,-0.52,-248351504.0,-3.1,-47578864.0,-0.59,338294752.0,4.22
27,2022-12-26,349595440.0,3.55,320213776.0,3.25,29381664.0,0.3,-73262944.0,-0.74,-276211296.0,-2.81
28,2022-12-27,-317224224.0,-3.04,-113212064.0,-1.08,-204012160.0,-1.95,238370912.0,2.28,79468048.0,0.76
29,2022-12-28,-184783536.0,-1.73,-94142368.0,-0.88,-90641168.0,-0.85,-2849536.0,-0.03,188515376.0,1.76
30,2022-12-29,-308405440.0,-3.17,-321414288.0,-3.31,13008848.0,0.13,100319200.0,1.03,208019760.0,2.14
31,2022-12-30,113938992.0,1.25,21269584.0,0.23,92669408.0,1.02,-38496624.0,-0.42,-76115312.0,-0.84
32,2023-01-03,837279680.0,5.66,829557536.0,5.61,7722144.0,0.05,-311649024.0,-2.11,-525217536.0,-3.55
33,2023-01-04,-339072192.0,-2.57,139312048.0,1.06,-478384240.0,-3.63,-220278640.0,-1.67,560120576.0,4.25
34,2023-01-05,-85345968.0,-0.66,226863680.0,1.74,-312209648.0,-2.4,-309027680.0,-2.38,393468800.0,3.03
35,2023-01-06,-149114448.0,-1.18,-101327424.0,-0.8,-47787024.0,-0.38,-71440960.0,-0.57,220490672.0,1.75
36,2023-01-09,-16094160.0,-0.12,82303408.0,0.63,-98397568.0,-0.75,-135527472.0,-1.03,154341632.0,1.17
37,2023-01-10,-298351920.0,-2.64,-223070176.0,-1.98,-75281744.0,-0.67,-87639984.0,-0.78,388395120.0,3.44
38,2023-01-11,153365920.0,1.11,259779488.0,1.89,-106413568.0,-0.77,-264800256.0,-1.92,112275456.0,0.81
39,2023-01-12,-155976464.0,-1.21,-50742816.0,-0.39,-105233648.0,-0.82,69238832.0,0.54,87441152.0,0.68
40,2023-01-13,-457950272.0,-3.62,-331101968.0,-2.62,-126848304.0,-1.0,39358864.0,0.31,419490960.0,3.31
41,2023-01-16,60345920.0,0.43,148392560.0,1.05,-88046640.0,-0.63,-152771840.0,-1.09,95168512.0,0.68
42,2023-01-17,-495014640.0,-3.88,-372981904.0,-2.93,-122032736.0,-0.96,261822192.0,2.05,233652048.0,1.83
43,2023-01-18,226612352.0,1.83,133835296.0,1.08,92777056.0,0.75,-47256864.0,-0.38,-179316480.0,-1.45
44,2023-01-19,-813617584.0,-4.8,-375157168.0,-2.21,-438460416.0,-2.59,249174016.0,1.47,565240832.0,3.34
45,2023-01-20,-59235440.0,-0.39,83585792.0,0.54,-142821232.0,-0.93,-310087168.0,-2.02,370553088.0,2.41
46,2023-01-30,114064576.0,0.62,-138479200.0,-0.75,252543776.0,1.36,17697024.0,0.1,-133021952.0,-0.72
47,2023-01-31,-629858688.0,-3.67,-157857792.0,-0.92,-472000896.0,-2.75,77344768.0,0.45,559231488.0,3.26
48,2023-02-01,382359088.0,1.97,269273392.0,1.39,113085696.0,0.58,-126529024.0,-0.65,-253899776.0,-1.31
49,2023-02-02,-1599452480.0,-7.28,-934681664.0,-4.26,-664770816.0,-3.03,148727808.0,0.68,1448991744.0,6.6
50,2023-02-03,-811658688.0,-3.55,-399530688.0,-1.75,-412128000.0,-1.8,225811456.0,0.99,587911680.0,2.57
51,2023-02-06,28554080.0,0.13,30084192.0,0.14,-1530112.0,-0.01,74022400.0,0.35,-103956736.0,-0.49
52,2023-02-07,-514632816.0,-2.12,-416908400.0,-1.72,-97724416.0,-0.4,290451200.0,1.2,223607040.0,0.92
53,2023-02-08,-1350719968.0,-6.73,-647809248.0,-3.23,-702910720.0,-3.5,166486528.0,0.83,1184687872.0,5.9
54,2023-02-09,950916528.0,3.59,714974640.0,2.7,235941888.0,0.89,-249355520.0,-0.94,-701732096.0,-2.65
