,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-343203712.0,-1.97,5501040.0,0.03,-348704752.0,-2.01,-174996992.0,-1.01,517381888.0,2.98
1,2022-11-18,19162880.0,0.09,133601568.0,0.65,-114438688.0,-0.56,12682752.0,0.06,-34080512.0,-0.17
2,2022-11-21,132730256.0,0.59,287892112.0,1.28,-155161856.0,-0.69,177213440.0,0.79,-316428800.0,-1.41
3,2022-11-22,-1221181152.0,-6.28,-637856384.0,-3.28,-583324768.0,-3.0,109573888.0,0.56,1095666688.0,5.63
4,2022-11-23,-539464240.0,-3.01,-160156096.0,-0.89,-379308144.0,-2.11,-43116800.0,-0.24,580521472.0,3.24
5,2022-11-24,-259915648.0,-1.53,29168272.0,0.17,-289083920.0,-1.71,-421888.0,-0.0,254008320.0,1.5
6,2022-11-25,-1107349232.0,-7.81,-401624512.0,-2.83,-705724720.0,-4.98,-165116928.0,-1.17,1267269120.0,8.94
7,2022-11-28,-642340432.0,-4.8,-238300304.0,-1.78,-404040128.0,-3.02,-74287104.0,-0.56,708231936.0,5.3
8,2022-11-29,356719616.0,2.36,322911440.0,2.14,33808176.0,0.22,-348093440.0,-2.3,-35211776.0,-0.23
9,2022-11-30,-137824048.0,-0.83,-39692752.0,-0.24,-98131296.0,-0.59,-194051584.0,-1.17,330923264.0,1.99
10,2022-12-01,37959072.0,0.22,68285488.0,0.4,-30326416.0,-0.18,-14197504.0,-0.08,-27369472.0,-0.16
11,2022-12-02,-289825696.0,-1.81,-80150064.0,-0.5,-209675632.0,-1.31,-64124672.0,-0.4,334906112.0,2.09
12,2022-12-05,-492574912.0,-2.58,33574672.0,0.18,-526149584.0,-2.76,94596864.0,0.5,383406336.0,2.01
13,2022-12-06,-780828304.0,-4.23,-308648544.0,-1.67,-472179760.0,-2.56,87101184.0,0.47,688842240.0,3.73
14,2022-12-07,-896128752.0,-5.59,-292450368.0,-1.82,-603678384.0,-3.77,118748928.0,0.74,770448384.0,4.81
15,2022-12-08,-601293344.0,-4.14,-222864672.0,-1.53,-378428672.0,-2.6,-30799104.0,-0.21,624820736.0,4.3
16,2022-12-09,-739368992.0,-4.67,-271463696.0,-1.72,-467905296.0,-2.96,-13028352.0,-0.08,751873792.0,4.75
17,2022-12-12,-310007744.0,-1.96,130823392.0,0.83,-440831136.0,-2.79,-130849280.0,-0.83,433581568.0,2.74
18,2022-12-13,-662104976.0,-4.47,-267459008.0,-1.8,-394645968.0,-2.66,-51217920.0,-0.35,714062592.0,4.82
19,2022-12-14,-151692560.0,-0.98,240779328.0,1.56,-392471888.0,-2.55,-91181056.0,-0.59,240504576.0,1.56
20,2022-12-15,-193959472.0,-1.3,-60610016.0,-0.41,-133349456.0,-0.9,32954368.0,0.22,160589568.0,1.08
21,2022-12-16,-1159401664.0,-7.75,-418112944.0,-2.8,-741288720.0,-4.96,95353856.0,0.64,1058937088.0,7.08
22,2022-12-19,-791222272.0,-6.13,-313789344.0,-2.43,-477432928.0,-3.7,37033216.0,0.29,747982592.0,5.79
23,2022-12-20,104224416.0,0.81,142863728.0,1.11,-38639312.0,-0.3,51995136.0,0.4,-158186496.0,-1.23
24,2022-12-21,-754467056.0,-6.65,-311238848.0,-2.74,-443228208.0,-3.9,-5798960.0,-0.05,756036320.0,6.66
25,2022-12-22,-579648448.0,-5.1,-195088864.0,-1.72,-384559584.0,-3.39,-129542176.0,-1.14,698517792.0,6.15
26,2022-12-23,-754979168.0,-6.78,-302627232.0,-2.72,-452351936.0,-4.06,-143788400.0,-1.29,889633264.0,7.99
27,2022-12-26,323450960.0,2.59,319283152.0,2.56,4167808.0,0.03,-258591008.0,-2.07,-66247680.0,-0.53
28,2022-12-27,-322492784.0,-2.55,-166011008.0,-1.31,-156481776.0,-1.24,-156528384.0,-1.24,480068608.0,3.79
29,2022-12-28,-456896480.0,-4.44,-119899552.0,-1.16,-336996928.0,-3.27,-74153024.0,-0.72,529651872.0,5.14
30,2022-12-29,-107659936.0,-1.11,10924000.0,0.11,-118583936.0,-1.22,-55817824.0,-0.58,161696160.0,1.67
31,2022-12-30,-251666128.0,-2.64,-113628176.0,-1.19,-138037952.0,-1.45,-14169936.0,-0.15,269745408.0,2.83
32,2023-01-03,541937248.0,4.06,332221152.0,2.49,209716096.0,1.57,-167890176.0,-1.26,-372748800.0,-2.79
33,2023-01-04,96495888.0,0.71,253549840.0,1.87,-157053952.0,-1.16,-229082880.0,-1.69,130753536.0,0.97
34,2023-01-05,34973264.0,0.24,105948544.0,0.74,-70975280.0,-0.5,-63651584.0,-0.44,27491072.0,0.19
35,2023-01-06,-67986288.0,-0.43,113679792.0,0.72,-181666080.0,-1.15,-143972608.0,-0.91,212868096.0,1.35
36,2023-01-09,-215055232.0,-1.53,-35003088.0,-0.25,-180052144.0,-1.28,9536256.0,0.07,211366144.0,1.5
37,2023-01-10,-243516624.0,-1.91,-66175184.0,-0.52,-177341440.0,-1.39,-40116224.0,-0.31,281410816.0,2.21
38,2023-01-11,-426063568.0,-3.09,-74946400.0,-0.54,-351117168.0,-2.54,-39299584.0,-0.28,464069376.0,3.36
39,2023-01-12,-156615712.0,-1.01,117753776.0,0.76,-274369488.0,-1.77,-71517184.0,-0.46,227433472.0,1.47
40,2023-01-13,-569634496.0,-4.12,-194894544.0,-1.41,-374739952.0,-2.71,-122992640.0,-0.89,692935168.0,5.01
41,2023-01-16,-253243584.0,-1.85,-176965680.0,-1.29,-76277904.0,-0.56,-41940224.0,-0.31,293172480.0,2.14
42,2023-01-17,-148856720.0,-1.14,-14065216.0,-0.11,-134791504.0,-1.04,36282368.0,0.28,109949184.0,0.84
43,2023-01-18,-357701232.0,-2.79,-199347136.0,-1.55,-158354096.0,-1.23,151775488.0,1.18,204348672.0,1.59
44,2023-01-19,-333138864.0,-2.85,-145255856.0,-1.24,-187883008.0,-1.61,-53185744.0,-0.46,385257488.0,3.3
45,2023-01-20,62657824.0,0.4,-89509136.0,-0.58,152166960.0,0.98,107707648.0,0.69,-168617472.0,-1.09
46,2023-01-30,-45766944.0,-0.22,67073248.0,0.32,-112840192.0,-0.54,151244544.0,0.72,-105210368.0,-0.5
47,2023-01-31,257593776.0,1.25,213108960.0,1.04,44484816.0,0.22,-187655424.0,-0.91,-38246400.0,-0.19
48,2023-02-01,-245041296.0,-1.12,-110092176.0,-0.51,-134949120.0,-0.62,30551808.0,0.14,199005696.0,0.91
49,2023-02-02,-469080496.0,-2.13,31713360.0,0.14,-500793856.0,-2.27,-130396928.0,-0.59,578708992.0,2.62
50,2023-02-03,-1346111408.0,-7.22,-474479248.0,-2.55,-871632160.0,-4.68,-36308480.0,-0.19,1380144384.0,7.41
51,2023-02-06,-856296848.0,-5.15,-284241120.0,-1.71,-572055728.0,-3.44,-77138688.0,-0.46,925810688.0,5.57
52,2023-02-07,118575568.0,0.54,173448912.0,0.8,-54873344.0,-0.25,32374784.0,0.15,-153654784.0,-0.71
53,2023-02-08,-309551344.0,-1.55,-11312352.0,-0.06,-298238992.0,-1.49,-90540544.0,-0.45,397062144.0,1.98
54,2023-02-09,-281845808.0,-1.34,-15126064.0,-0.07,-266719744.0,-1.27,-386597120.0,-1.84,686096896.0,3.27
55,2023-02-10,-595111440.0,-3.19,-264743072.0,-1.42,-330368368.0,-1.77,-58743808.0,-0.32,641934592.0,3.44
56,2023-02-13,-358888832.0,-1.7,-131684224.0,-0.62,-227204608.0,-1.08,-140856320.0,-0.67,505375488.0,2.39
57,2023-02-14,-849119536.0,-4.41,-291401760.0,-1.51,-557717776.0,-2.9,7544576.0,0.04,838297600.0,4.36
58,2023-02-15,-821479600.0,-4.05,-324923200.0,-1.6,-496556400.0,-2.45,24832000.0,0.12,796546048.0,3.93
59,2023-02-16,-1789266896.0,-7.83,-705894864.0,-3.09,-1083372032.0,-4.74,-176321024.0,-0.77,1965591808.0,8.61
60,2023-02-17,-1028458128.0,-6.86,-340792992.0,-2.27,-687665136.0,-4.59,3090176.0,0.02,1015038208.0,6.77
61,2023-02-20,-338886432.0,-2.16,-291687648.0,-1.86,-47198784.0,-0.3,67536896.0,0.43,275880960.0,1.76
62,2023-02-21,126223216.0,0.81,64341152.0,0.42,61882064.0,0.4,-110774528.0,-0.71,-19026944.0,-0.12
63,2023-02-22,-402458224.0,-3.02,-267939664.0,-2.01,-134518560.0,-1.01,181727488.0,1.37,218801664.0,1.64
64,2023-02-23,-113980880.0,-0.79,-988352.0,-0.01,-112992528.0,-0.79,145951232.0,1.02,-42674944.0,-0.3
65,2023-02-24,-707009216.0,-5.13,-262544288.0,-1.91,-444464928.0,-3.23,21529600.0,0.16,694728448.0,5.04
66,2023-02-27,-640829888.0,-4.51,-184975696.0,-1.3,-455854192.0,-3.21,-20389120.0,-0.14,656018176.0,4.62
67,2023-02-28,-506083776.0,-4.13,-137783904.0,-1.12,-368299872.0,-3.01,171264.0,0.0,507924480.0,4.14
68,2023-03-01,-116124336.0,-0.85,-116518320.0,-0.85,393984.0,0.0,111145728.0,0.81,9928960.0,0.07
