,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-73716167.0,-3.38,42054825.0,1.93,-115770992.0,-5.31,-97363584.0,-4.47,171058256.0,7.85
1,2022-11-18,71892311.0,2.25,173595351.0,5.42,-101703040.0,-3.18,-116759248.0,-3.65,44794192.0,1.4
2,2022-11-21,-373795408.0,-8.12,-162370640.0,-3.53,-211424768.0,-4.59,15048912.0,0.33,358716928.0,7.79
3,2022-11-22,73160752.0,1.4,173953808.0,3.32,-100793056.0,-1.92,-115439088.0,-2.2,42257888.0,0.81
4,2022-11-23,-150440064.0,-3.64,-84621872.0,-2.05,-65818192.0,-1.59,9404432.0,0.23,141032224.0,3.41
5,2022-11-24,-77481899.0,-2.53,-57271483.0,-1.87,-20210416.0,-0.66,5287232.0,0.17,72139632.0,2.35
6,2022-11-25,12378303.0,0.39,78634911.0,2.48,-66256608.0,-2.09,-28537184.0,-0.9,16169104.0,0.51
7,2022-11-28,-148661819.0,-4.38,-73289627.0,-2.16,-75372192.0,-2.22,13031776.0,0.38,135602288.0,3.99
8,2022-11-29,-238233696.0,-6.03,-97947520.0,-2.48,-140286176.0,-3.55,24111280.0,0.61,213751568.0,5.41
9,2022-11-30,87854400.0,2.08,134123936.0,3.17,-46269536.0,-1.09,-36869392.0,-0.87,-50957184.0,-1.21
10,2022-12-01,-255428656.0,-5.85,-153777248.0,-3.52,-101651408.0,-2.33,29081056.0,0.67,226436688.0,5.18
11,2022-12-02,-230590000.0,-5.69,-160289824.0,-3.95,-70300176.0,-1.73,-55014912.0,-1.36,285547248.0,7.04
12,2022-12-05,-101148868.0,-2.89,-37407732.0,-1.07,-63741136.0,-1.82,-11436960.0,-0.33,112577296.0,3.22
13,2022-12-06,-261916036.0,-8.5,-160783764.0,-5.22,-101132272.0,-3.28,5090832.0,0.17,256804768.0,8.34
14,2022-12-07,-41464623.0,-1.5,727985.0,0.03,-42192608.0,-1.52,-68864480.0,-2.48,110208976.0,3.98
15,2022-12-08,-54177381.0,-2.11,28843339.0,1.13,-83020720.0,-3.24,-70025328.0,-2.73,124226112.0,4.85
16,2022-12-09,-92275794.0,-3.41,-62603090.0,-2.31,-29672704.0,-1.1,-30998496.0,-1.15,123325648.0,4.56
17,2022-12-12,-109248327.0,-3.63,-24041239.0,-0.8,-85207088.0,-2.83,38840640.0,1.29,70459376.0,2.34
18,2022-12-13,-117850112.0,-3.09,-26134272.0,-0.68,-91715840.0,-2.4,64939488.0,1.7,52897984.0,1.39
19,2022-12-14,-91499982.0,-2.48,11613762.0,0.31,-103113744.0,-2.8,24872256.0,0.67,66534560.0,1.8
20,2022-12-15,-123921838.0,-3.86,-77107422.0,-2.4,-46814416.0,-1.46,-31059088.0,-0.97,151409392.0,4.71
21,2022-12-16,-252547027.0,-7.41,-113702115.0,-3.33,-138844912.0,-4.07,6625104.0,0.19,242849392.0,7.12
22,2022-12-19,139652676.0,4.17,259928788.0,7.77,-120276112.0,-3.59,-133030320.0,-3.97,-8539184.0,-0.26
23,2022-12-20,-341373736.0,-9.74,-216212568.0,-6.17,-125161168.0,-3.57,-31097296.0,-0.89,372187440.0,10.62
