,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-1555429536.0,-8.85,-968680896.0,-5.51,-586748640.0,-3.34,696756224.0,3.96,858673200.0,4.88
1,2022-11-18,-77785136.0,-0.5,78858368.0,0.51,-156643504.0,-1.02,-62572544.0,-0.41,140357584.0,0.91
2,2022-11-21,-1670888864.0,-8.3,-983063200.0,-4.88,-687825664.0,-3.42,84231936.0,0.42,1586656912.0,7.88
3,2022-11-22,-362079152.0,-2.25,-504487456.0,-3.13,142408304.0,0.88,-262808320.0,-1.63,624887264.0,3.88
4,2022-11-23,-545377392.0,-3.98,-348288784.0,-2.54,-197088608.0,-1.44,-110478336.0,-0.81,655855552.0,4.78
5,2022-11-24,-2155757360.0,-14.72,-1467283680.0,-10.02,-688473680.0,-4.7,919208448.0,6.28,1236548928.0,8.44
6,2022-11-25,363600768.0,2.74,44395840.0,0.33,319204928.0,2.4,18155008.0,0.14,-381756032.0,-2.88
7,2022-11-28,-284860592.0,-1.17,-626365872.0,-2.57,341505280.0,1.4,332731904.0,1.36,-47871488.0,-0.2
8,2022-11-29,3954143744.0,10.56,2853162240.0,7.62,1100981504.0,2.94,-1784736512.0,-4.77,-2169407232.0,-5.79
9,2022-11-30,464652960.0,2.26,-91183456.0,-0.44,555836416.0,2.7,-373591552.0,-1.81,-91061248.0,-0.44
10,2022-12-01,1728828672.0,4.35,2351310848.0,5.91,-622482176.0,-1.56,-784045568.0,-1.97,-944783104.0,-2.37
11,2022-12-02,-728730416.0,-3.15,-485006640.0,-2.1,-243723776.0,-1.05,115203328.0,0.5,613527040.0,2.65
12,2022-12-05,1031654752.0,3.79,1146438240.0,4.21,-114783488.0,-0.42,-631704064.0,-2.32,-399950848.0,-1.47
13,2022-12-06,1933826304.0,4.48,1893197568.0,4.39,40628736.0,0.09,-786907392.0,-1.82,-1146919168.0,-2.66
14,2022-12-07,211926528.0,0.69,-285083904.0,-0.93,497010432.0,1.62,-329146880.0,-1.07,117220608.0,0.38
15,2022-12-08,458744272.0,2.15,147630032.0,0.69,311114240.0,1.46,-232052736.0,-1.09,-226691584.0,-1.06
16,2022-12-09,3073692672.0,7.59,2311937792.0,5.71,761754880.0,1.88,-1767577088.0,-4.37,-1306115584.0,-3.23
17,2022-12-12,-1987240608.0,-6.66,-736570016.0,-2.47,-1250670592.0,-4.19,457814272.0,1.53,1529426432.0,5.12
18,2022-12-13,289777312.0,1.23,658541984.0,2.8,-368764672.0,-1.57,169415168.0,0.72,-459192576.0,-1.95
19,2022-12-14,1205131776.0,3.41,1110883072.0,3.14,94248704.0,0.27,-357152512.0,-1.01,-847979520.0,-2.4
20,2022-12-15,-1864551936.0,-6.04,-856746240.0,-2.77,-1007805696.0,-3.26,90293760.0,0.29,1774258432.0,5.74
21,2022-12-16,-500041104.0,-1.95,-486392208.0,-1.9,-13648896.0,-0.05,268535552.0,1.05,231505920.0,0.9
22,2022-12-19,-2250111952.0,-9.94,-1524387024.0,-6.74,-725724928.0,-3.21,448763136.0,1.98,1801348864.0,7.96
23,2022-12-20,-3401764480.0,-10.44,-1918382208.0,-5.89,-1483382272.0,-4.55,754125568.0,2.31,2647638784.0,8.13
24,2022-12-21,-18310928.0,-0.09,69731312.0,0.35,-88042240.0,-0.44,-586625536.0,-2.92,604936704.0,3.01
25,2022-12-22,1666050656.0,5.79,1446798688.0,5.02,219251968.0,0.76,-666746368.0,-2.32,-999304448.0,-3.47
26,2022-12-23,1066902544.0,4.05,619598608.0,2.35,447303936.0,1.7,-477136896.0,-1.81,-589765632.0,-2.24
27,2022-12-26,-856515632.0,-3.98,-279393840.0,-1.3,-577121792.0,-2.68,367260928.0,1.71,489254656.0,2.28
28,2022-12-27,479113888.0,2.11,269643936.0,1.19,209469952.0,0.92,-79516928.0,-0.35,-399597056.0,-1.76
29,2022-12-28,-1513340816.0,-7.12,-584116112.0,-2.75,-929224704.0,-4.37,672927744.0,3.16,840413184.0,3.95
30,2022-12-29,-1185877232.0,-5.96,-669396464.0,-3.37,-516480768.0,-2.6,-224612864.0,-1.13,1410489968.0,7.09
31,2022-12-30,462478320.0,2.29,-96714256.0,-0.48,559192576.0,2.77,-525698304.0,-2.6,63219968.0,0.31
32,2023-01-03,-717998720.0,-2.93,-289405824.0,-1.18,-428592896.0,-1.75,-132136448.0,-0.54,850135552.0,3.47
33,2023-01-04,93821872.0,0.51,343896640.0,1.88,-250074768.0,-1.36,-146566912.0,-0.8,52745216.0,0.29
34,2023-01-05,3452057088.0,8.79,3447254528.0,8.78,4802560.0,0.01,-1633438208.0,-4.16,-1818618880.0,-4.63
35,2023-01-06,-378976928.0,-1.4,-259785632.0,-0.96,-119191296.0,-0.44,129897728.0,0.48,249079296.0,0.92
36,2023-01-09,1448962560.0,4.38,567703040.0,1.72,881259520.0,2.66,-292491264.0,-0.88,-1156471552.0,-3.5
37,2023-01-10,-289621824.0,-1.06,20648128.0,0.08,-310269952.0,-1.14,112410624.0,0.41,177211136.0,0.65
38,2023-01-11,-502982080.0,-2.28,-566185152.0,-2.57,63203072.0,0.29,-298211328.0,-1.35,801193216.0,3.63
39,2023-01-12,-1613112640.0,-8.91,-871231008.0,-4.81,-741881632.0,-4.1,649919744.0,3.59,963192640.0,5.32
40,2023-01-13,2305219296.0,7.89,1709161696.0,5.85,596057600.0,2.04,-1117890560.0,-3.83,-1187328512.0,-4.06
41,2023-01-16,139734272.0,0.37,322619648.0,0.84,-182885376.0,-0.48,-135964160.0,-0.36,-3769856.0,-0.01
42,2023-01-17,-2166561104.0,-8.9,-801514832.0,-3.29,-1365046272.0,-5.61,607618816.0,2.5,1558942208.0,6.4
43,2023-01-18,-928850208.0,-4.14,-346727200.0,-1.54,-582123008.0,-2.59,-54057984.0,-0.24,982908272.0,4.38
44,2023-01-19,-1766279424.0,-8.5,-559108352.0,-2.69,-1207171072.0,-5.81,939863296.0,4.52,826416240.0,3.98
45,2023-01-20,-736655152.0,-3.26,158486480.0,0.7,-895141632.0,-3.96,562907392.0,2.49,173748256.0,0.77
46,2023-01-30,-97061376.0,-0.28,346945024.0,1.0,-444006400.0,-1.28,-103863808.0,-0.3,200925184.0,0.58
47,2023-01-31,-2824638096.0,-9.89,-1575500944.0,-5.52,-1249137152.0,-4.37,764031232.0,2.67,2060606464.0,7.21
48,2023-02-01,-1307340320.0,-4.9,-449581856.0,-1.69,-857758464.0,-3.22,234411776.0,0.88,1072928512.0,4.02
49,2023-02-02,213606656.0,0.69,382129152.0,1.24,-168522496.0,-0.55,592777472.0,1.93,-806384128.0,-2.62
50,2023-02-03,-1134908672.0,-4.17,197597440.0,0.73,-1332506112.0,-4.89,54112768.0,0.2,1080795648.0,3.97
51,2023-02-06,-1625453056.0,-5.27,-442069248.0,-1.43,-1183383808.0,-3.84,691812608.0,2.24,933640192.0,3.03
52,2023-02-07,-1341637808.0,-6.88,-806631344.0,-4.14,-535006464.0,-2.74,514235648.0,2.64,827401984.0,4.24
53,2023-02-08,-1234111968.0,-7.71,-1120398976.0,-7.0,-113712992.0,-0.71,529636864.0,3.31,704475168.0,4.4
54,2023-02-09,1532856320.0,5.36,1523563008.0,5.33,9293312.0,0.03,-845364992.0,-2.96,-687491328.0,-2.4
55,2023-02-10,-52909248.0,-0.23,241882432.0,1.05,-294791680.0,-1.27,174110720.0,0.75,-121201664.0,-0.52
56,2023-02-13,2514148864.0,6.21,3207477760.0,7.93,-693328896.0,-1.71,-1596627968.0,-3.95,-917521152.0,-2.27
57,2023-02-14,-1873593424.0,-7.12,-568401232.0,-2.16,-1305192192.0,-4.96,692393984.0,2.63,1181199616.0,4.49
58,2023-02-15,-329202864.0,-1.46,115385168.0,0.51,-444588032.0,-1.97,-196352256.0,-0.87,525554944.0,2.33
59,2023-02-16,-28273920.0,-0.09,222002176.0,0.69,-250276096.0,-0.77,356730112.0,1.1,-328455936.0,-1.02
60,2023-02-17,-694300416.0,-2.57,98728448.0,0.37,-793028864.0,-2.94,406706176.0,1.51,287594496.0,1.06
61,2023-02-20,1984821104.0,7.45,1459296624.0,5.48,525524480.0,1.97,-1645963008.0,-6.18,-338858496.0,-1.27
62,2023-02-21,-1373134112.0,-6.37,-1143541792.0,-5.31,-229592320.0,-1.07,160855808.0,0.75,1212278528.0,5.63
63,2023-02-22,-835289728.0,-3.75,-271502208.0,-1.22,-563787520.0,-2.53,333340416.0,1.5,501949184.0,2.25
64,2023-02-23,-2083618288.0,-10.44,-1505501680.0,-7.54,-578116608.0,-2.9,580273920.0,2.91,1503344256.0,7.53
