,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-138619661.0,-4.91,-84932173.0,-3.01,-53687488.0,-1.9,-12014672.0,-0.43,150634320.0,5.33
1,2022-11-18,-69126206.0,-1.99,-71332174.0,-2.06,2205968.0,0.06,-9496304.0,-0.27,78622496.0,2.27
2,2022-11-21,-31465611.0,-1.24,-24823403.0,-0.98,-6642208.0,-0.26,65867424.0,2.6,-34401808.0,-1.36
3,2022-11-22,-59204524.0,-1.96,15594404.0,0.52,-74798928.0,-2.48,83973856.0,2.79,-24769328.0,-0.82
4,2022-11-23,77303259.0,2.37,-5102421.0,-0.16,82405680.0,2.52,-5476352.0,-0.17,-71826896.0,-2.2
5,2022-11-24,-4101568.0,-0.12,26298624.0,0.75,-30400192.0,-0.86,45547216.0,1.29,-41445648.0,-1.17
6,2022-11-25,-284031480.0,-8.94,-91620792.0,-2.89,-192410688.0,-6.06,15070240.0,0.47,268961232.0,8.47
7,2022-11-28,16556944.0,0.4,160516736.0,3.85,-143959792.0,-3.45,-79841376.0,-1.91,63284432.0,1.52
8,2022-11-29,-112854385.0,-3.19,-74031217.0,-2.1,-38823168.0,-1.1,52692112.0,1.49,60162272.0,1.7
9,2022-11-30,180923872.0,3.52,80194128.0,1.56,100729744.0,1.96,69625280.0,1.35,-250549136.0,-4.87
10,2022-12-01,-140207616.0,-3.48,-59062896.0,-1.47,-81144720.0,-2.02,103143120.0,2.56,37064512.0,0.92
11,2022-12-02,-115049152.0,-2.87,-78831520.0,-1.97,-36217632.0,-0.9,79517408.0,1.98,35531744.0,0.89
12,2022-12-05,-40483312.0,-0.9,29913824.0,0.67,-70397136.0,-1.57,59802752.0,1.33,-19319456.0,-0.43
13,2022-12-06,-353484208.0,-6.53,-208751600.0,-3.85,-144732608.0,-2.67,56955824.0,1.05,296528400.0,5.47
14,2022-12-07,-70055488.0,-1.73,735168.0,0.02,-70790656.0,-1.75,-88915888.0,-2.19,158971376.0,3.92
15,2022-12-08,-304945823.0,-9.09,-173025007.0,-5.16,-131920816.0,-3.93,33419776.0,1.0,271526032.0,8.09
16,2022-12-09,-111379504.0,-2.87,-11403616.0,-0.29,-99975888.0,-2.58,37171696.0,0.96,74207792.0,1.91
17,2022-12-12,-261637781.0,-8.83,-122532101.0,-4.13,-139105680.0,-4.69,6601184.0,0.22,255036624.0,8.6
18,2022-12-13,-62977779.0,-2.86,-23290339.0,-1.06,-39687440.0,-1.81,20311424.0,0.92,42666352.0,1.94
19,2022-12-14,-162526820.0,-7.65,-46354356.0,-2.18,-116172464.0,-5.47,68464784.0,3.22,94062032.0,4.43
20,2022-12-15,-131092394.0,-6.22,-38140874.0,-1.81,-92951520.0,-4.41,-28269040.0,-1.34,159361424.0,7.56
21,2022-12-16,-291294114.0,-13.3,-111390578.0,-5.09,-179903536.0,-8.21,8613520.0,0.39,282680592.0,12.91
22,2022-12-19,-278628360.0,-10.64,-166908328.0,-6.37,-111720032.0,-4.27,37855936.0,1.45,240772432.0,9.19
23,2022-12-20,-94881782.0,-5.45,-48987526.0,-2.81,-45894256.0,-2.64,-39150128.0,-2.25,134031920.0,7.7
24,2022-12-21,-86059155.0,-5.14,-58826051.0,-3.51,-27233104.0,-1.63,23004144.0,1.37,63055008.0,3.76
25,2022-12-22,-145494217.0,-6.96,-80991417.0,-3.87,-64502800.0,-3.08,-2066048.0,-0.1,147560240.0,7.06
26,2022-12-23,-74869150.0,-4.6,-51852542.0,-3.19,-23016608.0,-1.42,1474512.0,0.09,73394624.0,4.51
27,2022-12-26,-14140604.0,-0.8,-48343580.0,-2.74,34202976.0,1.94,36083696.0,2.04,-21943104.0,-1.24
28,2022-12-27,164918298.0,7.62,144699738.0,6.69,20218560.0,0.93,-41328224.0,-1.91,-123590064.0,-5.71
29,2022-12-28,-163688545.0,-8.24,-70333681.0,-3.54,-93354864.0,-4.7,22927568.0,1.15,140760976.0,7.09
30,2022-12-29,-64166141.0,-3.91,-58179117.0,-3.54,-5987024.0,-0.36,-35153456.0,-2.14,99319600.0,6.05
31,2022-12-30,-54311177.0,-3.75,-7701497.0,-0.53,-46609680.0,-3.22,-31254144.0,-2.16,85565312.0,5.91
32,2023-01-03,57432197.0,2.96,39758549.0,2.05,17673648.0,0.91,-14239296.0,-0.73,-43192880.0,-2.22
33,2023-01-04,-30513114.0,-1.55,-20562490.0,-1.04,-9950624.0,-0.5,36631632.0,1.86,-6118512.0,-0.31
34,2023-01-05,68418776.0,2.78,16486600.0,0.67,51932176.0,2.11,-33445760.0,-1.36,-34973008.0,-1.42
35,2023-01-06,167064384.0,5.19,184201040.0,5.72,-17136656.0,-0.53,-100743968.0,-3.13,-66320400.0,-2.06
36,2023-01-09,-109499603.0,-4.01,-29092627.0,-1.06,-80406976.0,-2.94,-28820656.0,-1.05,138320256.0,5.06
37,2023-01-10,-128946615.0,-5.68,-61649783.0,-2.72,-67296832.0,-2.97,23383872.0,1.03,105562736.0,4.65
38,2023-01-11,-74998314.0,-2.95,-10192794.0,-0.4,-64805520.0,-2.55,48222960.0,1.9,26775360.0,1.05
39,2023-01-12,91858674.0,2.6,155824898.0,4.41,-63966224.0,-1.81,-102483872.0,-2.9,10625200.0,0.3
40,2023-01-13,-81725908.0,-3.53,-76508068.0,-3.3,-5217840.0,-0.23,-13073840.0,-0.56,94799744.0,4.09
41,2023-01-16,-50660705.0,-1.83,-49427713.0,-1.79,-1232992.0,-0.04,-4338096.0,-0.16,54998800.0,1.99
42,2023-01-17,-87312838.0,-4.44,-49695558.0,-2.53,-37617280.0,-1.91,49278080.0,2.5,38034752.0,1.93
43,2023-01-18,-53665268.0,-2.15,16067244.0,0.64,-69732512.0,-2.79,36113824.0,1.45,17551456.0,0.7
44,2023-01-19,-72150744.0,-3.4,-80233192.0,-3.78,8082448.0,0.38,-1480784.0,-0.07,73631536.0,3.47
45,2023-01-20,32398538.0,1.01,86617642.0,2.71,-54219104.0,-1.7,-6025184.0,-0.19,-26373360.0,-0.83
46,2023-01-30,-114142912.0,-2.99,-22137424.0,-0.58,-92005488.0,-2.41,-18100992.0,-0.47,132243920.0,3.47
47,2023-01-31,-119070827.0,-4.77,-25141163.0,-1.01,-93929664.0,-3.76,-49543792.0,-1.98,168614608.0,6.75
48,2023-02-01,97837136.0,2.76,31635728.0,0.89,66201408.0,1.87,-58958608.0,-1.67,-38878528.0,-1.1
49,2023-02-02,-392750430.0,-11.92,-233893678.0,-7.1,-158856752.0,-4.82,144952704.0,4.4,247797728.0,7.52
