,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-263937408.0,-4.89,-175361008.0,-3.25,-88576400.0,-1.64,27451360.0,0.51,236486064.0,4.38
1,2022-11-18,-221458800.0,-3.39,1035088.0,0.02,-222493888.0,-3.4,-48725824.0,-0.75,270184624.0,4.13
2,2022-11-21,108922048.0,1.66,168950208.0,2.57,-60028160.0,-0.91,-108261264.0,-1.65,-660800.0,-0.01
3,2022-11-22,-205891648.0,-3.11,-142851680.0,-2.16,-63039968.0,-0.95,90628208.0,1.37,115263440.0,1.74
4,2022-11-23,151691040.0,2.39,73328240.0,1.16,78362800.0,1.24,-107554448.0,-1.7,-44136592.0,-0.7
5,2022-11-24,59377488.0,0.89,96705920.0,1.44,-37328432.0,-0.56,-17962704.0,-0.27,-41414784.0,-0.62
6,2022-11-25,-373261728.0,-5.74,-183556080.0,-2.82,-189705648.0,-2.92,39081104.0,0.6,334180624.0,5.14
7,2022-11-28,-357658848.0,-6.15,-248281072.0,-4.27,-109377776.0,-1.88,-94595088.0,-1.63,452253936.0,7.78
8,2022-11-29,-336878976.0,-3.64,-155709408.0,-1.68,-181169568.0,-1.96,34789120.0,0.38,302089872.0,3.27
9,2022-11-30,-500805056.0,-6.71,-334943216.0,-4.49,-165861840.0,-2.22,119456176.0,1.6,381348880.0,5.11
10,2022-12-01,147685424.0,1.75,253100464.0,3.0,-105415040.0,-1.25,-176526640.0,-2.09,28841200.0,0.34
11,2022-12-02,-325439456.0,-5.52,-27010832.0,-0.46,-298428624.0,-5.06,2699360.0,0.05,322740112.0,5.47
12,2022-12-05,-198687200.0,-1.64,-207103056.0,-1.71,8415856.0,0.07,401710784.0,3.32,-203023568.0,-1.68
13,2022-12-06,-294629520.0,-3.39,-417726752.0,-4.81,123097232.0,1.42,161370016.0,1.86,133259520.0,1.53
14,2022-12-07,-136023392.0,-1.51,-302653184.0,-3.36,166629792.0,1.85,-334432.0,-0.0,136357840.0,1.51
15,2022-12-08,-306593152.0,-4.43,-232595632.0,-3.36,-73997520.0,-1.07,294596576.0,4.25,11996576.0,0.17
16,2022-12-09,213190576.0,2.09,146638208.0,1.44,66552368.0,0.65,101465536.0,1.0,-314656128.0,-3.09
17,2022-12-12,-859490704.0,-9.89,-625375760.0,-7.19,-234114944.0,-2.69,93944816.0,1.08,765545888.0,8.81
18,2022-12-13,-102573536.0,-1.55,-79006032.0,-1.19,-23567504.0,-0.36,14365024.0,0.22,88208512.0,1.33
19,2022-12-14,-370037264.0,-6.75,-150377744.0,-2.74,-219659520.0,-4.01,-6479184.0,-0.12,376516464.0,6.87
20,2022-12-15,12193264.0,0.25,53804208.0,1.08,-41610944.0,-0.84,-135044112.0,-2.72,122850864.0,2.48
21,2022-12-16,-117531664.0,-1.7,-32176624.0,-0.47,-85355040.0,-1.24,3577280.0,0.05,113954384.0,1.65
22,2022-12-19,-557821696.0,-8.64,-335866128.0,-5.2,-221955568.0,-3.44,-53280144.0,-0.83,611101840.0,9.47
23,2022-12-20,-43313088.0,-1.11,-1006720.0,-0.03,-42306368.0,-1.09,-94570688.0,-2.43,137883776.0,3.54
24,2022-12-21,-187813928.0,-5.67,-95828648.0,-2.9,-91985280.0,-2.78,34743248.0,1.05,153070672.0,4.63
25,2022-12-22,-415200928.0,-9.4,-179772976.0,-4.07,-235427952.0,-5.33,82148240.0,1.86,333052672.0,7.54
26,2022-12-23,-262514504.0,-8.23,-132360744.0,-4.15,-130153760.0,-4.08,-72882912.0,-2.29,335397392.0,10.52
27,2022-12-26,-53032720.0,-1.62,-49025840.0,-1.5,-4006880.0,-0.12,-8201120.0,-0.25,61233856.0,1.88
28,2022-12-27,47056048.0,1.31,74618032.0,2.08,-27561984.0,-0.77,22748032.0,0.64,-69804096.0,-1.95
29,2022-12-28,-203287216.0,-4.69,-15025840.0,-0.35,-188261376.0,-4.34,-3838352.0,-0.09,207125552.0,4.78
30,2022-12-29,-195436496.0,-4.7,-100949184.0,-2.43,-94487312.0,-2.27,-51900432.0,-1.25,247336928.0,5.95
31,2022-12-30,-197361376.0,-5.51,-135526560.0,-3.78,-61834816.0,-1.73,41794432.0,1.17,155566928.0,4.34
32,2023-01-03,180268496.0,3.86,147240544.0,3.15,33027952.0,0.71,-33580224.0,-0.72,-146688288.0,-3.14
33,2023-01-04,-34298992.0,-0.76,-7845168.0,-0.17,-26453824.0,-0.58,69929568.0,1.55,-35630576.0,-0.79
34,2023-01-05,284288144.0,6.12,158705392.0,3.42,125582752.0,2.7,-64073136.0,-1.38,-220214992.0,-4.74
35,2023-01-06,242693312.0,4.15,192813536.0,3.29,49879776.0,0.85,-38213504.0,-0.65,-204479808.0,-3.49
36,2023-01-09,143815168.0,2.3,17107760.0,0.27,126707408.0,2.03,52226816.0,0.84,-196042000.0,-3.14
37,2023-01-10,-166691072.0,-3.16,-128767008.0,-2.44,-37924064.0,-0.72,59234768.0,1.12,107456304.0,2.03
38,2023-01-11,-147929904.0,-3.26,-65239584.0,-1.44,-82690320.0,-1.82,30303584.0,0.67,117626320.0,2.59
39,2023-01-12,-26851632.0,-0.72,38761760.0,1.03,-65613392.0,-1.75,-27879904.0,-0.74,54731552.0,1.46
40,2023-01-13,-57566272.0,-1.49,-39529968.0,-1.02,-18036304.0,-0.47,61529472.0,1.59,-3963184.0,-0.1
41,2023-01-16,78231968.0,1.54,90778928.0,1.78,-12546960.0,-0.25,-145352848.0,-2.85,67120880.0,1.32
42,2023-01-17,-125249920.0,-3.49,-72703504.0,-2.02,-52546416.0,-1.46,10798240.0,0.3,114451680.0,3.19
43,2023-01-18,-23509920.0,-0.62,-21840416.0,-0.58,-1669504.0,-0.04,16690464.0,0.44,6819472.0,0.18
44,2023-01-19,51987088.0,1.24,83806416.0,2.01,-31819328.0,-0.76,-19276736.0,-0.46,-32710336.0,-0.78
45,2023-01-20,274561632.0,3.83,912912.0,0.01,273648720.0,3.82,-132987696.0,-1.86,-141573920.0,-1.98
46,2023-01-30,118179056.0,1.34,127577728.0,1.44,-9398672.0,-0.11,-243829232.0,-2.76,125650176.0,1.42
47,2023-01-31,-159837264.0,-2.69,-35228352.0,-0.59,-124608912.0,-2.1,-119779680.0,-2.02,279616944.0,4.7
48,2023-02-01,350149888.0,3.82,352214128.0,3.84,-2064240.0,-0.02,-40715616.0,-0.44,-309434272.0,-3.37
49,2023-02-02,-495753616.0,-7.46,-269866416.0,-4.06,-225887200.0,-3.4,93329712.0,1.4,402423888.0,6.06
50,2023-02-03,-645079040.0,-9.7,-526530416.0,-7.92,-118548624.0,-1.78,118485328.0,1.78,526593696.0,7.92
51,2023-02-06,-403152656.0,-8.17,-294944224.0,-5.98,-108208432.0,-2.19,123999984.0,2.51,279152688.0,5.66
