,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-83138270.0,-6.58,-50173538.0,-3.97,-32964732.0,-2.61,-29046816.0,-2.3,112185088.0,8.88
1,2022-11-18,-110463751.0,-8.54,-71128578.0,-5.5,-39335173.0,-3.04,52948608.0,4.09,57515136.0,4.45
2,2022-11-21,-6129363.0,-0.57,-7586060.0,-0.71,1456697.0,0.14,2879184.0,0.27,3250192.0,0.3
3,2022-11-22,-64655779.0,-5.06,-48517519.0,-3.8,-16138260.0,-1.26,22599392.0,1.77,42056384.0,3.29
4,2022-11-23,19058923.0,1.49,14627068.0,1.15,4431855.0,0.35,-14011504.0,-1.1,-5047408.0,-0.4
5,2022-11-24,48344071.0,4.43,62935916.0,5.76,-14591845.0,-1.34,-37371168.0,-3.42,-10972912.0,-1.0
6,2022-11-25,-87559642.0,-4.72,-57573626.0,-3.1,-29986016.0,-1.62,46451744.0,2.5,41107904.0,2.22
7,2022-11-28,-38818949.0,-2.48,7626386.0,0.49,-46445335.0,-2.97,-7761248.0,-0.5,46580192.0,2.97
8,2022-11-29,55284508.0,2.44,41831244.0,1.85,13453264.0,0.59,-38440512.0,-1.7,-16843984.0,-0.74
9,2022-11-30,-87112324.0,-5.1,-49473268.0,-2.9,-37639056.0,-2.2,-16147360.0,-0.95,103259696.0,6.05
10,2022-12-01,-41771509.0,-1.97,-30121301.0,-1.42,-11650208.0,-0.55,2840848.0,0.13,38930672.0,1.84
11,2022-12-02,-63321860.0,-4.61,-24123599.0,-1.76,-39198261.0,-2.86,27975584.0,2.04,35346272.0,2.58
12,2022-12-05,55988686.0,2.17,69320894.0,2.68,-13332208.0,-0.52,2778592.0,0.11,-58767280.0,-2.28
13,2022-12-06,-134406769.0,-6.51,-83068385.0,-4.02,-51338384.0,-2.48,-6048224.0,-0.29,140454992.0,6.8
14,2022-12-07,-43241864.0,-1.75,36441848.0,1.47,-79683712.0,-3.22,23465872.0,0.95,19775984.0,0.8
15,2022-12-08,48545062.0,1.82,63005654.0,2.36,-14460592.0,-0.54,-8990832.0,-0.34,-39554224.0,-1.48
16,2022-12-09,-35027043.0,-1.42,-41380723.0,-1.68,6353680.0,0.26,14186624.0,0.57,20840432.0,0.84
17,2022-12-12,-94274318.0,-4.58,-2210046.0,-0.11,-92064272.0,-4.47,-30323824.0,-1.47,124598128.0,6.06
18,2022-12-13,237757756.0,7.47,267760428.0,8.41,-30002672.0,-0.94,-103742384.0,-3.26,-134015392.0,-4.21
19,2022-12-14,-332803227.0,-9.16,-188886571.0,-5.2,-143916656.0,-3.96,114062080.0,3.14,218741168.0,6.02
20,2022-12-15,-69486552.0,-2.29,-70648968.0,-2.33,1162416.0,0.04,4698880.0,0.16,64787664.0,2.14
21,2022-12-16,68302847.0,2.23,88046047.0,2.87,-19743200.0,-0.64,20527760.0,0.67,-88830608.0,-2.9
22,2022-12-19,-230478672.0,-7.45,-82245792.0,-2.66,-148232880.0,-4.79,29565760.0,0.96,200912928.0,6.5
23,2022-12-20,-88107847.0,-3.9,-14154375.0,-0.63,-73953472.0,-3.27,-25560176.0,-1.13,113668048.0,5.03
24,2022-12-21,-14783462.0,-0.64,-6325350.0,-0.27,-8458112.0,-0.37,28258096.0,1.23,-13474640.0,-0.58
25,2022-12-22,90807400.0,3.2,101448232.0,3.58,-10640832.0,-0.38,-51522096.0,-1.82,-39285312.0,-1.39
26,2022-12-23,-86319194.0,-3.86,-33820138.0,-1.51,-52499056.0,-2.35,-8063520.0,-0.36,94382704.0,4.23
27,2022-12-26,-61765105.0,-2.7,-16218673.0,-0.71,-45546432.0,-1.99,38718672.0,1.69,23046432.0,1.01
28,2022-12-27,-120338350.0,-3.93,-58807678.0,-1.92,-61530672.0,-2.01,1783648.0,0.06,118554704.0,3.87
29,2022-12-28,-41425650.0,-1.58,19619646.0,0.75,-61045296.0,-2.33,-19140848.0,-0.73,60566496.0,2.32
30,2022-12-29,-162759781.0,-6.35,-120866405.0,-4.71,-41893376.0,-1.63,33562624.0,1.31,129197152.0,5.04
31,2022-12-30,124304857.0,4.35,181545913.0,6.35,-57241056.0,-2.0,-95253152.0,-3.33,-29051712.0,-1.02
32,2023-01-03,-126325083.0,-4.5,-26787835.0,-0.95,-99537248.0,-3.54,35600096.0,1.27,90724992.0,3.23
33,2023-01-04,-49224369.0,-2.19,-21293169.0,-0.95,-27931200.0,-1.24,-10496.0,-0.0,49234848.0,2.19
34,2023-01-05,-17850771.0,-0.69,14759485.0,0.57,-32610256.0,-1.27,32952176.0,1.28,-15101408.0,-0.59
35,2023-01-06,-65843539.0,-2.68,-719651.0,-0.03,-65123888.0,-2.65,-24487984.0,-1.0,90331520.0,3.68
36,2023-01-09,701428.0,0.03,14260084.0,0.59,-13558656.0,-0.56,-14234304.0,-0.58,13532880.0,0.56
37,2023-01-10,-43358543.0,-1.97,-50892255.0,-2.31,7533712.0,0.34,27168608.0,1.23,16189936.0,0.74
38,2023-01-11,-761459.0,-0.03,106958589.0,4.36,-107720048.0,-4.39,-61053040.0,-2.49,61814496.0,2.52
39,2023-01-12,-111324911.0,-5.62,-75416143.0,-3.81,-35908768.0,-1.81,-19652800.0,-0.99,130977712.0,6.61
40,2023-01-13,-15917486.0,-1.03,-8327054.0,-0.54,-7590432.0,-0.49,10667424.0,0.69,5250064.0,0.34
41,2023-01-16,-26837548.0,-1.54,-7756908.0,-0.45,-19080640.0,-1.1,6527536.0,0.37,20310016.0,1.17
42,2023-01-17,264999464.0,13.21,282491272.0,14.08,-17491808.0,-0.87,-111069904.0,-5.54,-153929536.0,-7.67
43,2023-01-18,-187968881.0,-7.32,-56586689.0,-2.2,-131382192.0,-5.12,58405248.0,2.27,129563648.0,5.05
44,2023-01-19,41033893.0,2.19,58901637.0,3.14,-17867744.0,-0.95,-60928064.0,-3.25,19894160.0,1.06
45,2023-01-20,-111906142.0,-6.18,-70839934.0,-3.91,-41066208.0,-2.27,-5805712.0,-0.32,117711856.0,6.5
46,2023-01-30,-186825830.0,-7.53,-123103974.0,-4.96,-63721856.0,-2.57,52713424.0,2.12,134112416.0,5.4
47,2023-01-31,-46465746.0,-2.57,-7262530.0,-0.4,-39203216.0,-2.17,-48200400.0,-2.66,94666160.0,5.23
48,2023-02-01,-20360702.0,-1.08,-32008366.0,-1.7,11647664.0,0.62,20859536.0,1.11,-498832.0,-0.03
49,2023-02-02,-103341762.0,-5.88,-70016434.0,-3.98,-33325328.0,-1.9,32177440.0,1.83,71164336.0,4.05
50,2023-02-03,-79661851.0,-3.88,4826613.0,0.24,-84488464.0,-4.12,-17986416.0,-0.88,97648288.0,4.76
51,2023-02-06,-43507282.0,-2.27,-55207554.0,-2.88,11700272.0,0.61,-14005760.0,-0.73,57513040.0,3.0
52,2023-02-07,-47650425.0,-2.69,-36521209.0,-2.06,-11129216.0,-0.63,-15184512.0,-0.86,62834928.0,3.55
53,2023-02-08,-91510526.0,-6.4,-33136711.0,-2.32,-58373815.0,-4.09,4335920.0,0.3,87174608.0,6.1
54,2023-02-09,-17106658.0,-1.21,18708190.0,1.32,-35814848.0,-2.53,-22531200.0,-1.59,39637872.0,2.8
55,2023-02-10,-8304240.0,-0.52,1905792.0,0.12,-10210032.0,-0.64,-51870160.0,-3.25,60174416.0,3.77
56,2023-02-13,60639086.0,2.81,68210398.0,3.16,-7571312.0,-0.35,-701872.0,-0.03,-59937200.0,-2.78
57,2023-02-14,-105499803.0,-6.37,-80668635.0,-4.87,-24831168.0,-1.5,-39755776.0,-2.4,145255568.0,8.77
58,2023-02-15,-106867374.0,-6.59,-60372590.0,-3.72,-46494784.0,-2.87,11361248.0,0.7,95506128.0,5.89
59,2023-02-16,-142839736.0,-6.78,-46791176.0,-2.22,-96048560.0,-4.56,-24164240.0,-1.15,167003984.0,7.93
60,2023-02-17,-72699009.0,-5.12,-46521646.0,-3.28,-26177363.0,-1.84,11958928.0,0.84,60740064.0,4.28
61,2023-02-20,11256686.0,0.79,3537015.0,0.25,7719671.0,0.54,22917264.0,1.61,-34173952.0,-2.4
62,2023-02-21,-41218412.0,-3.03,6191988.0,0.46,-47410400.0,-3.49,-12641360.0,-0.93,53859760.0,3.96
63,2023-02-22,-12174400.0,-1.16,4068564.0,0.39,-16242964.0,-1.55,-144096.0,-0.01,12318496.0,1.17
64,2023-02-23,-88141785.0,-6.87,-49081350.0,-3.83,-39060435.0,-3.05,17541504.0,1.37,70600288.0,5.51
65,2023-02-24,-76091254.0,-7.26,-33760684.0,-3.22,-42330570.0,-4.04,28060464.0,2.68,48030800.0,4.58
66,2023-02-27,-72264115.0,-6.71,-21876893.0,-2.03,-50387222.0,-4.68,-5610000.0,-0.52,77874112.0,7.23
67,2023-02-28,-113943229.0,-7.81,-61722301.0,-4.23,-52220928.0,-3.58,19163008.0,1.31,94780224.0,6.5
68,2023-03-01,-53521157.0,-3.66,-24151734.0,-1.65,-29369423.0,-2.01,-72806432.0,-4.98,126327600.0,8.65
69,2023-03-02,-148509487.0,-8.62,-67895247.0,-3.94,-80614240.0,-4.68,47342720.0,2.75,101166768.0,5.87
70,2023-03-03,-66768132.0,-4.28,-36535844.0,-2.34,-30232288.0,-1.94,-5304784.0,-0.34,72072928.0,4.62
71,2023-03-06,-125824074.0,-7.25,-46991450.0,-2.71,-78832624.0,-4.54,-4858560.0,-0.28,130682624.0,7.53
72,2023-03-07,-183253047.0,-10.77,-42827479.0,-2.52,-140425568.0,-8.25,38907568.0,2.29,144345472.0,8.48
73,2023-03-08,-70225960.0,-5.32,-27457574.0,-2.08,-42768386.0,-3.24,-31510816.0,-2.39,101736784.0,7.71
74,2023-03-09,-50103556.0,-4.23,-4938061.0,-0.42,-45165495.0,-3.82,-9432240.0,-0.8,59535808.0,5.03
75,2023-03-10,-104490204.0,-8.38,-18047916.0,-1.45,-86442288.0,-6.93,-54701648.0,-4.39,159191856.0,12.76
76,2023-03-13,-8676356.0,-0.64,-10342669.0,-0.76,1666313.0,0.12,-40329808.0,-2.96,49006176.0,3.6
77,2023-03-14,-55823036.0,-3.66,-5939068.0,-0.39,-49883968.0,-3.27,12611616.0,0.83,43211408.0,2.84
78,2023-03-15,54435210.0,3.19,10899802.0,0.64,43535408.0,2.55,-59473024.0,-3.49,5037824.0,0.3
79,2023-03-16,-33364597.0,-2.31,-29341078.0,-2.03,-4023519.0,-0.28,-21724304.0,-1.5,55088896.0,3.81
80,2023-03-17,26584483.0,1.71,28665683.0,1.85,-2081200.0,-0.13,-12662864.0,-0.82,-13921616.0,-0.9
81,2023-03-20,-60752382.0,-3.27,-39487534.0,-2.12,-21264848.0,-1.14,-5660896.0,-0.3,66413264.0,3.57
82,2023-03-21,-90251088.0,-5.75,-106847536.0,-6.81,16596448.0,1.06,15437696.0,0.98,74813392.0,4.77
83,2023-03-22,-124837525.0,-8.27,-88679797.0,-5.87,-36157728.0,-2.4,8257184.0,0.55,116580352.0,7.72
84,2023-03-23,-41899186.0,-3.07,-50228391.0,-3.69,8329205.0,0.61,-12649072.0,-0.93,54548256.0,4.0
85,2023-03-24,-61507052.0,-3.93,8638920.0,0.55,-70145972.0,-4.48,19461248.0,1.24,42045792.0,2.69
86,2023-03-27,-50518138.0,-3.01,-24563226.0,-1.46,-25954912.0,-1.55,24570976.0,1.46,25947168.0,1.55
87,2023-03-28,-5940991.0,-0.51,-6392916.0,-0.55,451925.0,0.04,56807440.0,4.92,-50866448.0,-4.41
88,2023-03-29,19829368.0,1.49,-11666165.0,-0.88,31495533.0,2.37,36566128.0,2.75,-56395472.0,-4.24
89,2023-03-30,-29622650.0,-2.53,-12865463.0,-1.1,-16757187.0,-1.43,38073472.0,3.25,-8450832.0,-0.72
90,2023-03-31,31650617.0,2.43,12694562.0,0.97,18956055.0,1.46,15426112.0,1.18,-47076736.0,-3.62
91,2023-04-03,-26629378.0,-1.73,-32845266.0,-2.13,6215888.0,0.4,58446944.0,3.8,-31817584.0,-2.07
92,2023-04-04,-134895837.0,-7.1,-72542157.0,-3.82,-62353680.0,-3.28,41696672.0,2.2,93199152.0,4.91
93,2023-04-06,-56139601.0,-3.99,-12795579.0,-0.91,-43344022.0,-3.08,-27862864.0,-1.98,84002464.0,5.96
94,2023-04-07,-7656063.0,-0.66,-14278994.0,-1.23,6622931.0,0.57,5711552.0,0.49,1944512.0,0.17
95,2023-04-10,-25817590.0,-1.71,-24228098.0,-1.6,-1589492.0,-0.11,44119728.0,2.92,-18302128.0,-1.21
96,2023-04-11,-69598506.0,-4.95,-56773111.0,-4.04,-12825395.0,-0.91,53536736.0,3.81,16061776.0,1.14
97,2023-04-12,-68437369.0,-5.48,-27347361.0,-2.19,-41090008.0,-3.29,3724608.0,0.3,64712752.0,5.18
98,2023-04-13,-15878570.0,-1.16,11464022.0,0.84,-27342592.0,-1.99,-43088480.0,-3.14,58967056.0,4.3
99,2023-04-14,-35179247.0,-3.09,-40889100.0,-3.59,5709853.0,0.5,15282256.0,1.34,19896976.0,1.75
