,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-558117120.0,-4.71,-659319504.0,-5.56,101202384.0,0.85,176695632.0,1.49,381421472.0,3.22
1,2022-11-18,-497845968.0,-4.45,-308029136.0,-2.75,-189816832.0,-1.7,-57985200.0,-0.52,555831184.0,4.97
2,2022-11-21,-194784080.0,-1.94,-115839600.0,-1.15,-78944480.0,-0.79,34981760.0,0.35,159802336.0,1.59
3,2022-11-22,811464016.0,4.95,534828016.0,3.26,276636000.0,1.69,-207431168.0,-1.26,-604032704.0,-3.68
4,2022-11-23,600937024.0,3.6,626944320.0,3.76,-26007296.0,-0.16,-514759936.0,-3.09,-86176976.0,-0.52
5,2022-11-24,-386860112.0,-3.92,-286956528.0,-2.91,-99903584.0,-1.01,11256256.0,0.11,375603872.0,3.81
6,2022-11-25,1409562512.0,6.27,972813200.0,4.33,436749312.0,1.94,-311058944.0,-1.38,-1098503168.0,-4.89
7,2022-11-28,-1045023840.0,-6.08,-713882016.0,-4.15,-331141824.0,-1.93,232161280.0,1.35,812862720.0,4.73
8,2022-11-29,4946916096.0,13.29,4536180992.0,12.19,410735104.0,1.1,-1732497408.0,-4.65,-3214418688.0,-8.64
9,2022-11-30,-1196149648.0,-5.17,-1626498704.0,-7.02,430349056.0,1.86,710756096.0,3.07,485393664.0,2.1
10,2022-12-01,-515058656.0,-2.66,-551408608.0,-2.84,36349952.0,0.19,-69898496.0,-0.36,584957040.0,3.02
11,2022-12-02,-902409584.0,-6.07,-544072848.0,-3.66,-358336736.0,-2.41,-109490432.0,-0.74,1011899968.0,6.81
12,2022-12-05,1813195264.0,8.19,1412651264.0,6.38,400544000.0,1.81,-910162432.0,-4.11,-903032832.0,-4.08
13,2022-12-06,-46536480.0,-0.3,-414210640.0,-2.68,367674160.0,2.38,-234917984.0,-1.52,281454480.0,1.82
14,2022-12-07,-473791328.0,-3.09,-192778912.0,-1.26,-281012416.0,-1.83,-404930208.0,-2.64,878721376.0,5.73
15,2022-12-08,112873568.0,0.84,-114844288.0,-0.85,227717856.0,1.69,-67266176.0,-0.5,-45607376.0,-0.34
16,2022-12-09,1044216592.0,5.13,969160720.0,4.76,75055872.0,0.37,-521292032.0,-2.56,-522924544.0,-2.57
17,2022-12-12,-1008240016.0,-6.62,-622314048.0,-4.09,-385925968.0,-2.53,230798288.0,1.52,777441808.0,5.1
18,2022-12-13,76796048.0,0.68,-4754432.0,-0.04,81550480.0,0.72,-337996976.0,-2.99,261200944.0,2.31
19,2022-12-14,166875408.0,1.45,-66114960.0,-0.57,232990368.0,2.02,-88482368.0,-0.77,-78393056.0,-0.68
20,2022-12-15,-299939552.0,-3.08,-256458784.0,-2.63,-43480768.0,-0.45,-159751824.0,-1.64,459691392.0,4.72
21,2022-12-16,-232054496.0,-1.78,-466952080.0,-3.59,234897584.0,1.81,-48229024.0,-0.37,280283504.0,2.15
22,2022-12-19,-697747744.0,-5.67,-526995216.0,-4.28,-170752528.0,-1.39,399811952.0,3.25,297935808.0,2.42
23,2022-12-20,-820841168.0,-6.71,-562951488.0,-4.6,-257889680.0,-2.11,317011184.0,2.59,503829984.0,4.12
