,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-203914514.0,-5.05,-108113586.0,-2.68,-95800928.0,-2.37,-4118624.0,-0.1,205442752.0,5.09
1,2022-11-18,-82182415.0,-2.12,-34769151.0,-0.9,-47413264.0,-1.22,-55399280.0,-1.43,133967872.0,3.46
2,2022-11-21,-140866113.0,-4.12,-65536641.0,-1.92,-75329472.0,-2.2,66060352.0,1.93,74660096.0,2.18
3,2022-11-22,-219742604.0,-6.67,-126350876.0,-3.83,-93391728.0,-2.83,47156000.0,1.43,167156352.0,5.07
4,2022-11-23,-26624875.0,-0.81,6316277.0,0.19,-32941152.0,-1.01,2163152.0,0.07,23813920.0,0.73
5,2022-11-24,48934667.0,1.59,-6890149.0,-0.22,55824816.0,1.82,39742256.0,1.29,-90597296.0,-2.95
6,2022-11-25,-279901262.0,-8.56,-146558798.0,-4.48,-133342464.0,-4.08,31455360.0,0.96,247204512.0,7.56
7,2022-11-28,-207477732.0,-5.68,-77171380.0,-2.11,-130306352.0,-3.57,104028720.0,2.85,104941360.0,2.87
8,2022-11-29,45102770.0,1.28,17980290.0,0.51,27122480.0,0.77,20751168.0,0.59,-68388272.0,-1.93
9,2022-11-30,-94526098.0,-2.62,-52466146.0,-1.45,-42059952.0,-1.16,19314576.0,0.53,72937216.0,2.02
10,2022-12-01,-5810096.0,-0.13,31562800.0,0.73,-37372896.0,-0.87,107876144.0,2.5,-102676160.0,-2.38
11,2022-12-02,-114300130.0,-3.24,-66902770.0,-1.9,-47397360.0,-1.34,108403936.0,3.07,477680.0,0.01
12,2022-12-05,11433697.0,0.31,-22362271.0,-0.61,33795968.0,0.92,40482832.0,1.11,-61991632.0,-1.69
13,2022-12-06,138520096.0,2.48,120662480.0,2.16,17857616.0,0.32,5735456.0,0.1,-150024176.0,-2.69
14,2022-12-07,-82216960.0,-1.58,-151108512.0,-2.91,68891552.0,1.33,60589552.0,1.17,14237344.0,0.27
15,2022-12-08,-7106736.0,-0.17,40275696.0,0.94,-47382432.0,-1.11,-136828928.0,-3.2,140647728.0,3.29
16,2022-12-09,260922064.0,4.89,79942096.0,1.5,180979968.0,3.39,-119158336.0,-2.23,-143212352.0,-2.68
17,2022-12-12,-204996934.0,-5.24,-128362790.0,-3.28,-76634144.0,-1.96,49416976.0,1.26,154449456.0,3.95
18,2022-12-13,-269812729.0,-8.64,-123103433.0,-3.94,-146709296.0,-4.7,-35673008.0,-1.14,304549648.0,9.75
19,2022-12-14,-88416387.0,-3.16,-74927299.0,-2.68,-13489088.0,-0.48,29772160.0,1.06,58016688.0,2.08
20,2022-12-15,-33735484.0,-1.22,-49554028.0,-1.79,15818544.0,0.57,58843136.0,2.13,-27331104.0,-0.99
21,2022-12-16,-293696079.0,-10.13,-148990847.0,-5.14,-144705232.0,-4.99,-25768224.0,-0.89,318282752.0,10.98
22,2022-12-19,-211729460.0,-8.09,-100771492.0,-3.85,-110957968.0,-4.24,2949104.0,0.11,204673600.0,7.82
23,2022-12-20,-148662537.0,-6.87,-61661769.0,-2.85,-87000768.0,-4.02,37276832.0,1.72,112362432.0,5.19
24,2022-12-21,-120638676.0,-5.54,-42526468.0,-1.95,-78112208.0,-3.59,636608.0,0.03,131056848.0,6.02
25,2022-12-22,-377397460.0,-12.7,-178121412.0,-5.99,-199276048.0,-6.71,49211456.0,1.66,324077056.0,10.91
26,2022-12-23,-235116055.0,-8.55,-139117383.0,-5.06,-95998672.0,-3.49,-56437568.0,-2.05,285393536.0,10.38
27,2022-12-26,-36930970.0,-1.33,-16278810.0,-0.59,-20652160.0,-0.74,-10939360.0,-0.39,45486960.0,1.64
28,2022-12-27,63153007.0,1.78,96099903.0,2.71,-32946896.0,-0.93,46737008.0,1.32,-109534544.0,-3.09
29,2022-12-28,-118299885.0,-4.11,-53152877.0,-1.85,-65147008.0,-2.26,-21000992.0,-0.73,138476816.0,4.81
30,2022-12-29,-34226587.0,-1.37,-9887371.0,-0.39,-24339216.0,-0.97,-3603008.0,-0.14,34724672.0,1.39
31,2022-12-30,-20644766.0,-0.85,1127698.0,0.05,-21772464.0,-0.9,-29437408.0,-1.21,49606816.0,2.04
32,2023-01-03,67194345.0,1.99,46630857.0,1.38,20563488.0,0.61,-42297472.0,-1.26,-24985712.0,-0.74
33,2023-01-04,1216024448.0,22.11,816312240.0,14.84,399712208.0,7.27,166797040.0,3.03,-1384113584.0,-25.17
34,2023-01-05,282922464.0,4.72,118254608.0,1.97,164667856.0,2.75,223879264.0,3.74,-507489856.0,-8.47
35,2023-01-06,215765952.0,2.92,96005456.0,1.3,119760496.0,1.62,-60404192.0,-0.82,-153981712.0,-2.08
36,2023-01-09,25277072.0,0.46,-73015664.0,-1.32,98292736.0,1.78,8358352.0,0.15,-34548592.0,-0.63
37,2023-01-10,-104733856.0,-2.47,-15651296.0,-0.37,-89082560.0,-2.1,-21229776.0,-0.5,124206688.0,2.93
38,2023-01-11,-85991376.0,-1.83,-67423008.0,-1.43,-18568368.0,-0.39,35423680.0,0.75,54257856.0,1.15
39,2023-01-12,-69912312.0,-1.85,-38671416.0,-1.02,-31240896.0,-0.83,-38017152.0,-1.01,104472864.0,2.76
40,2023-01-13,-219268352.0,-4.66,-122483952.0,-2.6,-96784400.0,-2.06,-12879744.0,-0.27,230236176.0,4.89
41,2023-01-16,7119440.0,0.12,82787760.0,1.41,-75668320.0,-1.29,-9719520.0,-0.17,-2174608.0,-0.04
42,2023-01-17,-193174672.0,-4.31,-132400496.0,-2.95,-60774176.0,-1.36,-3433568.0,-0.08,197539184.0,4.4
43,2023-01-18,-85969104.0,-1.98,-49671824.0,-1.14,-36297280.0,-0.84,-13773952.0,-0.32,99139776.0,2.28
44,2023-01-19,-83657524.0,-2.26,8278764.0,0.22,-91936288.0,-2.48,2769888.0,0.07,80653840.0,2.18
45,2023-01-20,-80898064.0,-1.67,-5435680.0,-0.11,-75462384.0,-1.56,66585072.0,1.37,14807264.0,0.31
46,2023-01-30,266599792.0,3.71,253526752.0,3.52,13073040.0,0.18,-51417136.0,-0.71,-211437856.0,-2.94
47,2023-01-31,-51732416.0,-0.72,42794512.0,0.59,-94526928.0,-1.31,118178304.0,1.64,-52722000.0,-0.73
48,2023-02-01,56776608.0,0.67,27810576.0,0.33,28966032.0,0.34,27461008.0,0.32,-89775568.0,-1.06
49,2023-02-02,-91635552.0,-1.32,23161392.0,0.33,-114796944.0,-1.66,106582592.0,1.54,-25876608.0,-0.37
50,2023-02-03,-388838672.0,-6.03,-248766416.0,-3.86,-140072256.0,-2.17,47192048.0,0.73,339097120.0,5.26
51,2023-02-06,-256859968.0,-5.04,-86930560.0,-1.71,-169929408.0,-3.34,126046048.0,2.48,122804768.0,2.41
52,2023-02-07,3297424.0,0.07,-68010096.0,-1.43,71307520.0,1.5,69505440.0,1.46,-68633936.0,-1.44
53,2023-02-08,-213927392.0,-4.45,-162619872.0,-3.38,-51307520.0,-1.07,88205840.0,1.83,121063200.0,2.52
54,2023-02-09,-133973664.0,-2.56,-84186544.0,-1.61,-49787120.0,-0.95,-125032112.0,-2.39,264070272.0,5.04
55,2023-02-10,-260682000.0,-5.34,-170188704.0,-3.49,-90493296.0,-1.86,144510640.0,2.96,113814128.0,2.33
56,2023-02-13,-284295680.0,-5.87,-208355728.0,-4.3,-75939952.0,-1.57,26216000.0,0.54,260153264.0,5.37
57,2023-02-14,-58370224.0,-1.23,14070400.0,0.3,-72440624.0,-1.53,15161440.0,0.32,34885104.0,0.74
58,2023-02-15,-236770224.0,-4.54,-199287296.0,-3.82,-37482928.0,-0.72,51414560.0,0.99,182600384.0,3.5
59,2023-02-16,-557721040.0,-9.04,-279030080.0,-4.53,-278690960.0,-4.52,39458464.0,0.64,513534288.0,8.33
60,2023-02-17,-279551165.0,-7.1,-132754173.0,-3.37,-146796992.0,-3.73,33889280.0,0.86,241656848.0,6.14
61,2023-02-20,3393872.0,0.07,-3564912.0,-0.07,6958784.0,0.15,40684816.0,0.85,-44254096.0,-0.92
62,2023-02-21,48875216.0,0.88,13292160.0,0.24,35583056.0,0.64,64076576.0,1.15,-119560800.0,-2.15
63,2023-02-22,-292277648.0,-7.88,-228436624.0,-6.16,-63841024.0,-1.72,112028112.0,3.02,177342608.0,4.78
64,2023-02-23,117976736.0,2.29,160836912.0,3.13,-42860176.0,-0.83,-38072016.0,-0.74,-83852864.0,-1.63
65,2023-02-24,-386662208.0,-7.86,-389445728.0,-7.92,2783520.0,0.06,108473600.0,2.2,275022304.0,5.59
66,2023-02-27,29216592.0,0.58,10724736.0,0.21,18491856.0,0.36,-7237136.0,-0.14,-20565120.0,-0.41
67,2023-02-28,-20330400.0,-0.5,-25813248.0,-0.64,5482848.0,0.13,-20218256.0,-0.5,39342880.0,0.97
68,2023-03-01,21884912.0,0.52,8369328.0,0.2,13515584.0,0.32,114940240.0,2.75,-136765120.0,-3.27
69,2023-03-02,-436167456.0,-10.49,-204810608.0,-4.92,-231356848.0,-5.56,73154352.0,1.76,361173120.0,8.68
70,2023-03-03,-256662455.0,-7.07,-108782807.0,-3.0,-147879648.0,-4.07,25942720.0,0.71,228608352.0,6.3
71,2023-03-06,-201627520.0,-3.64,-248444368.0,-4.48,46816848.0,0.84,168505296.0,3.04,32498304.0,0.59
72,2023-03-07,-365266976.0,-8.05,-188936544.0,-4.16,-176330432.0,-3.89,72187536.0,1.59,290230096.0,6.4
73,2023-03-08,127361312.0,3.2,75855424.0,1.91,51505888.0,1.29,1331632.0,0.03,-128622208.0,-3.23
74,2023-03-09,-58124128.0,-1.65,-22546544.0,-0.64,-35577584.0,-1.01,-26256304.0,-0.75,84878704.0,2.41
75,2023-03-10,-170929754.0,-4.27,-121448602.0,-3.04,-49481152.0,-1.24,-87995936.0,-2.2,258520656.0,6.46
76,2023-03-13,-164736784.0,-4.84,-53288128.0,-1.57,-111448656.0,-3.28,-9444016.0,-0.28,171812240.0,5.05
77,2023-03-14,-529858384.0,-12.44,-212125488.0,-4.98,-317732896.0,-7.46,45251440.0,1.06,481865456.0,11.31
78,2023-03-15,-187073972.0,-5.52,-87800628.0,-2.59,-99273344.0,-2.93,-1871984.0,-0.06,187596416.0,5.53
79,2023-03-16,-382416127.0,-11.12,-192655247.0,-5.6,-189760880.0,-5.52,-46325824.0,-1.35,425343424.0,12.37
80,2023-03-17,-240870688.0,-6.03,-153126720.0,-3.83,-87743968.0,-2.2,74859136.0,1.87,165401984.0,4.14
81,2023-03-20,15443200.0,0.3,-78840192.0,-1.51,94283392.0,1.81,141612448.0,2.72,-160104160.0,-3.08
82,2023-03-21,105861584.0,2.49,-7710192.0,-0.18,113571776.0,2.67,39898096.0,0.94,-148180832.0,-3.49
83,2023-03-22,-40123680.0,-0.93,4114928.0,0.1,-44238608.0,-1.03,45535792.0,1.06,-5426880.0,-0.13
84,2023-03-23,-176875366.0,-5.18,-86581286.0,-2.53,-90294080.0,-2.64,102640016.0,3.0,72621424.0,2.13
85,2023-03-24,-252277824.0,-5.24,-239053264.0,-4.97,-13224560.0,-0.27,73751712.0,1.53,178280592.0,3.71
86,2023-03-27,-9240096.0,-0.21,-1104672.0,-0.03,-8135424.0,-0.19,120724480.0,2.8,-111559760.0,-2.59
87,2023-03-28,-68724151.0,-1.79,-31139111.0,-0.81,-37585040.0,-0.98,32428560.0,0.85,35041856.0,0.91
88,2023-03-29,-7477663.0,-0.24,-17199935.0,-0.55,9722272.0,0.31,-90959200.0,-2.89,97200752.0,3.09
89,2023-03-30,-54229994.0,-1.75,-16237946.0,-0.52,-37992048.0,-1.23,-28128928.0,-0.91,80619840.0,2.6
90,2023-03-31,83802007.0,2.52,49893207.0,1.5,33908800.0,1.02,-48293376.0,-1.45,-44028208.0,-1.32
91,2023-04-03,-39912688.0,-0.82,17086000.0,0.35,-56998688.0,-1.17,32295584.0,0.66,3963024.0,0.08
92,2023-04-04,-476498944.0,-10.08,-267561040.0,-5.66,-208937904.0,-4.42,113070880.0,2.39,362958416.0,7.67
93,2023-04-06,-238913088.0,-5.41,-77027072.0,-1.74,-161886016.0,-3.66,57390656.0,1.3,180021856.0,4.08
94,2023-04-07,-101054877.0,-2.49,-66492445.0,-1.64,-34562432.0,-0.85,135712496.0,3.34,-36128432.0,-0.89
95,2023-04-10,-114822224.0,-2.42,-17583328.0,-0.37,-97238896.0,-2.05,57534288.0,1.21,53295664.0,1.12
96,2023-04-11,-75596850.0,-2.28,-38002834.0,-1.15,-37594016.0,-1.13,-10824400.0,-0.33,82646608.0,2.49
97,2023-04-12,-171305261.0,-5.09,-88466365.0,-2.63,-82838896.0,-2.46,-448448.0,-0.01,169802016.0,5.04
98,2023-04-13,-229164724.0,-6.58,-94431716.0,-2.71,-134733008.0,-3.87,6250144.0,0.18,220041536.0,6.32
99,2023-04-14,71265115.0,1.89,47961867.0,1.27,23303248.0,0.62,157681120.0,4.18,-229946016.0,-6.1
100,2023-04-17,-16199472.0,-0.4,-13344768.0,-0.33,-2854704.0,-0.07,87182112.0,2.14,-73718416.0,-1.81
