,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-204633561.0,-5.23,-118059977.0,-3.02,-86573584.0,-2.21,35133712.0,0.9,169499856.0,4.33
1,2022-11-18,398529440.0,6.1,211604768.0,3.24,186924672.0,2.86,-25476144.0,-0.39,-373053280.0,-5.71
2,2022-11-21,-120438192.0,-2.36,80926512.0,1.59,-201364704.0,-3.95,-41517952.0,-0.81,161956144.0,3.17
3,2022-11-22,-257399408.0,-5.6,-98834272.0,-2.15,-158565136.0,-3.45,66916992.0,1.46,190482432.0,4.15
4,2022-11-23,-138144.0,-0.0,79734912.0,1.45,-79873056.0,-1.45,25375840.0,0.46,-25237696.0,-0.46
5,2022-11-24,-282584960.0,-5.85,-223839792.0,-4.63,-58745168.0,-1.22,88053664.0,1.82,194531280.0,4.03
6,2022-11-25,-325575347.0,-9.1,-172298563.0,-4.82,-153276784.0,-4.28,-118852992.0,-3.32,444428320.0,12.42
7,2022-11-28,46682016.0,1.08,-8012288.0,-0.18,54694304.0,1.26,-61091616.0,-1.41,14409600.0,0.33
8,2022-11-29,-93326087.0,-2.36,-85831815.0,-2.17,-7494272.0,-0.19,-109074064.0,-2.75,202400128.0,5.11
9,2022-11-30,-155314486.0,-4.41,-91658326.0,-2.6,-63656160.0,-1.81,6701136.0,0.19,148613344.0,4.22
10,2022-12-01,600226736.0,8.78,501077328.0,7.33,99149408.0,1.45,-271375120.0,-3.97,-328851616.0,-4.81
11,2022-12-02,-227379712.0,-4.04,-47303056.0,-0.84,-180076656.0,-3.2,52612320.0,0.94,174767408.0,3.11
12,2022-12-05,-470161312.0,-7.22,-360954400.0,-5.54,-109206912.0,-1.68,-33689536.0,-0.52,503850864.0,7.74
13,2022-12-06,-122283232.0,-2.7,-18607744.0,-0.41,-103675488.0,-2.29,-19974960.0,-0.44,142258176.0,3.14
14,2022-12-07,-363801312.0,-7.1,-157537152.0,-3.07,-206264160.0,-4.02,-45604560.0,-0.89,409405872.0,7.99
15,2022-12-08,-165314880.0,-3.61,-21107360.0,-0.46,-144207520.0,-3.15,-33157344.0,-0.72,198472224.0,4.34
