,日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
0,2022-11-17,-206696528.0,-1.47,-120521936.0,-0.85,-86174592.0,-0.61,-266190592.0,-1.89,472402688.0,3.35
1,2022-11-18,-266603952.0,-1.94,-84938704.0,-0.62,-181665248.0,-1.32,-188413440.0,-1.37,454493952.0,3.31
2,2022-11-21,-634289680.0,-4.98,-323651552.0,-2.54,-310638128.0,-2.44,-115943664.0,-0.91,750958848.0,5.89
3,2022-11-22,-711399200.0,-6.42,-346851168.0,-3.13,-364548032.0,-3.29,-27780128.0,-0.25,738174016.0,6.67
4,2022-11-23,-256718032.0,-2.34,1416416.0,0.01,-258134448.0,-2.35,-197656800.0,-1.8,455226384.0,4.15
5,2022-11-24,-406196560.0,-4.3,-399869376.0,-4.24,-6327184.0,-0.07,99220416.0,1.05,306409360.0,3.25
6,2022-11-25,-374199200.0,-4.18,-359022624.0,-4.01,-15176576.0,-0.17,128967888.0,1.44,245399824.0,2.74
7,2022-11-28,-60947792.0,-0.52,-144272352.0,-1.23,83324560.0,0.71,23699840.0,0.2,37882624.0,0.32
8,2022-11-29,399303968.0,2.69,219226560.0,1.48,180077408.0,1.21,-70352128.0,-0.47,-327102464.0,-2.2
9,2022-11-30,-193798288.0,-1.57,-121611552.0,-0.98,-72186736.0,-0.58,-66818416.0,-0.54,260910080.0,2.11
10,2022-12-01,1302574992.0,5.19,719919248.0,2.87,582655744.0,2.32,-515412992.0,-2.05,-785032448.0,-3.13
11,2022-12-02,-731359056.0,-3.34,-394879760.0,-1.8,-336479296.0,-1.54,-166041600.0,-0.76,895401472.0,4.09
12,2022-12-05,278859600.0,1.1,57491792.0,0.23,221367808.0,0.87,-126221056.0,-0.5,-153259264.0,-0.6
13,2022-12-06,-181858880.0,-0.71,-51327552.0,-0.2,-130531328.0,-0.51,66682112.0,0.26,115110400.0,0.45
14,2022-12-07,35138112.0,0.15,109552192.0,0.48,-74414080.0,-0.32,-166196736.0,-0.73,130760960.0,0.57
15,2022-12-08,-484409280.0,-2.64,-291433856.0,-1.59,-192975424.0,-1.05,-102638848.0,-0.56,586722816.0,3.2
16,2022-12-09,516108288.0,2.3,224409344.0,1.0,291698944.0,1.3,-599052800.0,-2.67,82536192.0,0.37
17,2022-12-12,-188909872.0,-0.94,-25253984.0,-0.13,-163655888.0,-0.81,-424228864.0,-2.11,613552384.0,3.05
18,2022-12-13,338466464.0,1.45,382977696.0,1.64,-44511232.0,-0.19,-104111616.0,-0.45,-232257280.0,-1.0
19,2022-12-14,123117280.0,0.46,165713632.0,0.62,-42596352.0,-0.16,-73006336.0,-0.27,-51904000.0,-0.2
20,2022-12-15,-1497636288.0,-7.06,-776444832.0,-3.66,-721191456.0,-3.4,-89758720.0,-0.42,1586519808.0,7.48
21,2022-12-16,-259896416.0,-1.56,76527360.0,0.46,-336423776.0,-2.02,-234550528.0,-1.41,492512256.0,2.96
22,2022-12-19,-719738240.0,-3.68,-226848656.0,-1.16,-492889584.0,-2.52,18829824.0,0.1,701331968.0,3.59
23,2022-12-20,-1331261808.0,-7.64,-482281824.0,-2.77,-848979984.0,-4.87,138114560.0,0.79,1193183488.0,6.84
24,2022-12-21,246255808.0,1.37,301765184.0,1.67,-55509376.0,-0.31,-272411136.0,-1.51,26477312.0,0.15
25,2022-12-22,-281574992.0,-1.34,-153647648.0,-0.73,-127927344.0,-0.61,118103552.0,0.56,159329024.0,0.76
26,2022-12-23,-279230256.0,-1.53,-112535824.0,-0.62,-166694432.0,-0.91,199645696.0,1.09,78630912.0,0.43
27,2022-12-26,-250424752.0,-1.35,-304050640.0,-1.64,53625888.0,0.29,14632192.0,0.08,235375872.0,1.27
28,2022-12-27,-222590976.0,-1.08,-171130288.0,-0.83,-51460688.0,-0.25,-7324928.0,-0.04,228544768.0,1.1
29,2022-12-28,-234602224.0,-1.14,-163070480.0,-0.79,-71531744.0,-0.35,-180933632.0,-0.88,415081984.0,2.02
30,2022-12-29,-495783136.0,-2.54,-89758352.0,-0.46,-406024784.0,-2.08,-263077376.0,-1.35,759065088.0,3.89
31,2022-12-30,49603680.0,0.23,167526352.0,0.78,-117922672.0,-0.55,-159732736.0,-0.74,108017408.0,0.5
