,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3384.4546,-1.155,-0.034,3385.6095,3379.2267,3384.4546,3376.5957,28455222,39458740297
1,sh000002,Ａ股指数,3547.6436,-1.217,-0.034,3548.8608,3542.1405,3547.6436,3539.3854,28448510,39447454136
2,sh000003,Ｂ股指数,297.4166,-0.195,-0.065,297.6112,298.0685,298.0685,297.3482,4538,3196662
3,sh000004,工业指数,3108.7175,-1.455,-0.047,3110.173,3105.1766,3108.7175,3101.9599,13659028,25342048456
4,sh000005,商业指数,2698.8281,-5.935,-0.219,2704.7629,2699.1763,2699.2258,2689.7056,2744961,3180408843
5,sh000006,地产指数,6263.5765,-77.729,-1.226,6341.3054,6274.0457,6279.1147,6258.3957,936103,687619815
6,sh000007,公用指数,4833.592,-20.45,-0.421,4854.0417,4853.7635,4853.7635,4831.6986,2802273,1749387825
7,sh000008,综合指数,2759.7244,6.186,0.225,2753.5387,2746.601,2760.1633,2744.056,8312858,8499275357
8,sh000009,上证380,6059.6621,-14.246,-0.235,6073.9076,6064.5427,6064.5427,6053.2689,4872794,6905083264
9,sh000010,上证180,8817.9362,7.026,0.08,8810.9103,8784.693,8818.2743,8779.756,9428400,16180257555
10,sh000011,基金指数,6860.321,-5.872,-0.086,6866.1932,6855.7053,6861.2379,6850.0723,32377762,4712094946
11,sh000012,国债指数,200.4117,0.017,0.008,200.3948,200.4114,200.412,200.4114,700,701903
12,sh000015,红利指数,3002.51,-5.432,-0.181,3007.9418,3005.9445,3005.9445,2998.3105,1878039,1144396525
13,sh000016,上证50,2736.9934,4.019,0.147,2732.974,2724.4934,2737.3794,2722.6137,3467506,6763062952
14,sh000017,新综指,2859.551,-0.974,-0.034,2860.5253,2855.1172,2859.551,2852.8948,27048680,35964047653
15,sh000018,180金融,4511.4311,25.619,0.571,4485.812,4477.971,4512.2509,4474.1292,3288954,3463656373
16,sh000019,治理指数,1078.6186,1.471,0.137,1077.148,1075.3062,1078.7022,1074.5309,7908698,8898807185
17,sh000020,中型综指,1412.2631,-5.101,-0.36,1417.3643,1415.0719,1415.0719,1411.2987,3191172,7015506988
18,sh000021,180治理,948.7917,2.149,0.227,946.6431,945.0909,948.8999,944.4227,5811387,6615755285
19,sh000022,沪公司债,228.798,0.023,0.01,228.7753,228.7984,228.7984,228.798,1900,1871500
20,sh000025,180基建,1996.1531,-10.66,-0.531,2006.8129,1993.7845,1997.2379,1989.1301,2666328,2000988853
21,sh000026,180资源,3669.7907,5.45,0.149,3664.3403,3657.7766,3669.7907,3650.1384,1017036,1256740338
22,sh000027,180运输,891.8979,-7.204,-0.801,899.1019,899.4841,899.4841,891.2465,167030,211574300
23,sh000028,180成长,4022.1499,-10.077,-0.25,4032.2271,4007.7076,4022.9687,4005.5185,2035913,6898447599
24,sh000029,180价值,3773.6102,10.327,0.274,3763.2829,3753.4153,3773.985,3749.8051,5333381,5243620448
25,sh000030,180R成长,2469.6659,-2.687,-0.109,2472.3528,2462.1543,2469.9246,2461.1596,5163212,11898082980
26,sh000031,180R价值,2768.2752,6.22,0.225,2762.0557,2755.5963,2768.5984,2753.4422,8460680,10243255829
27,sh000032,上证能源,1922.1893,-2.595,-0.135,1924.7839,1919.9598,1922.1893,1913.6689,2494807,1422657661
28,sh000033,上证材料,2559.7963,2.072,0.081,2557.7239,2554.0606,2559.9584,2551.6025,1130959,1620674124
29,sh000034,上证工业,2617.6604,2.849,0.109,2614.8117,2611.254,2617.6604,2608.8496,2709389,3060086036
30,sh000035,上证可选,2960.603,-2.059,-0.069,2962.6619,2963.2341,2966.4923,2960.1412,536704,1102343510
31,sh000036,上证消费,14815.8793,35.485,0.24,14780.3947,14786.0338,14820.6899,14757.0918,182083,1021054859
32,sh000037,上证医药,7577.2988,-83.89,-1.095,7661.1891,7589.8445,7593.207,7549.0541,355932,1862208589
33,sh000038,上证金融,4439.3766,24.694,0.559,4414.6829,4407.0055,4440.0265,4403.1017,2525082,2794908776
34,sh000039,上证信息,4007.648,-24.097,-0.598,4031.7454,3995.14,4015.0568,3991.3718,1290939,5855275225
35,sh000040,上证电信,3809.841,-23.424,-0.611,3833.2651,3810.0215,3812.0349,3792.4059,1273104,1771174759
36,sh000041,上证公用,2310.8901,-7.79,-0.336,2318.68,2320.3523,2320.47,2310.4987,971003,505763615
37,sh000042,上证央企,1581.4023,0.34,0.022,1581.062,1577.9309,1581.685,1576.012,5072585,4506116713
38,sh000043,超大盘,2158.6532,-3.677,-0.17,2162.3298,2152.8194,2158.6826,2150.898,1914520,4388402120
39,sh000044,上证中盘,4038.112,-0.604,-0.015,4038.7163,4027.4233,4038.5196,4024.6426,5960894,9417194603
40,sh000045,上证小盘,5177.2604,-9.479,-0.183,5186.7399,5178.1804,5178.4453,5167.4989,7880066,7862662326
41,sh000046,上证中小,4572.8385,-4.346,-0.095,4577.1843,4566.8858,4572.8385,4561.9804,13840960,17279856929
42,sh000047,上证全指,3536.1137,0.271,0.008,3535.8425,3526.608,3536.1137,3523.8704,17308466,24042919881
43,sh000048,责任指数,1394.9122,3.228,0.232,1391.6846,1388.2362,1394.9401,1387.2557,3474006,5038262606
44,sh000049,上证民企,2047.5471,8.421,0.413,2039.1265,2035.1079,2047.7563,2034.1704,1465421,4941112937
45,sh000050,50等权,2167.5946,1.261,0.058,2166.3335,2158.2465,2168.036,2156.5866,3467506,6763062952
46,sh000051,180等权,8694.3966,0.69,0.008,8693.7071,8671.1461,8695.0879,8665.2191,9428400,16180257555
47,sh000052,50基本,2598.8613,3.884,0.15,2594.9773,2584.4072,2599.4684,2581.2558,3467506,6763062952
48,sh000053,180基本,10750.1607,9.638,0.09,10740.5224,10705.9794,10751.7471,10697.3299,9428400,16180257555
49,sh000054,上证海外,1247.7338,-0.274,-0.022,1248.0077,1242.3338,1247.7338,1241.0182,4630395,6163824154
50,sh000055,上证地企,1355.4276,1.494,0.11,1353.9334,1350.5385,1355.9351,1350.1428,1514179,3448550549
51,sh000056,上证国企,1147.5867,0.743,0.065,1146.8435,1144.3764,1147.7831,1143.4826,6586763,7954667262
52,sh000057,全指成长,4222.2204,-1.799,-0.043,4224.0194,4209.7803,4222.6904,4207.833,2321545,8409695363
53,sh000058,全指价值,4022.5774,7.647,0.19,4014.9304,4006.2732,4022.5774,4002.2898,8448945,7413444989
54,sh000059,全R成长,3292.6574,-2.699,-0.082,3295.3567,3285.3207,3293.0769,3283.4244,9890354,17775728767
