,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
0,sh000001,上证指数,3316.2265,-10.955,-0.329,3327.1816,3321.2733,3334.4697,3309.2515,330648956,454790702108
1,sh000002,Ａ股指数,3476.0706,-11.519,-0.33,3487.5895,3481.3855,3495.2442,3468.7664,330373721,454460108143
2,sh000003,Ｂ股指数,294.0607,-0.546,-0.185,294.6069,294.5143,294.633,293.2941,224766,146590266
3,sh000004,工业指数,3045.5167,-18.871,-0.616,3064.3878,3060.7185,3070.7002,3040.5862,177125680,310541617787
4,sh000005,商业指数,2669.7232,5.59,0.21,2664.1331,2657.0062,2681.7814,2649.0978,28645379,34167288321
5,sh000006,地产指数,6298.0705,-22.058,-0.349,6320.1283,6294.5938,6320.263,6250.4531,5681555,4215723662
6,sh000007,公用指数,4751.0159,2.028,0.043,4748.9883,4741.6748,4773.1718,4731.0972,32767107,21159282154
7,sh000008,综合指数,2691.9915,2.699,0.1,2689.2924,2681.6464,2708.0764,2675.7283,86429235,84706790184
8,sh000009,上证380,6006.9625,-22.84,-0.379,6029.8026,6028.8488,6040.3775,6000.6921,60709351,92951761067
9,sh000010,上证180,8587.5806,-23.086,-0.268,8610.6668,8587.6459,8625.6433,8563.9967,105988661,164447975189
10,sh000011,基金指数,6761.4556,-49.39,-0.725,6810.8455,6787.3874,6793.2073,6756.2957,488613691,83272499300
11,sh000012,国债指数,200.327,0.058,0.029,200.2686,200.2851,200.327,200.2762,8696049,8673241377
12,sh000015,红利指数,2975.2737,1.44,0.048,2973.8334,2973.3735,2991.0679,2968.0568,22821822,15248237586
13,sh000016,上证50,2669.2375,3.468,0.13,2665.7695,2659.9407,2675.0005,2652.9579,34489869,66651705839
14,sh000017,新综指,2801.8651,-9.262,-0.329,2811.1274,2806.129,2817.2991,2795.9696,316099184,417526113859
15,sh000018,180金融,4342.8899,-1.8,-0.041,4344.6899,4332.176,4363.3789,4314.1081,24803957,22164290811
16,sh000019,治理指数,1053.8122,-0.243,-0.023,1054.0555,1051.5907,1057.1945,1050.1363,92800829,103671480639
17,sh000020,中型综指,1398.2771,-10.339,-0.734,1408.6159,1406.257,1409.7229,1397.5708,39631332,83225319919
18,sh000021,180治理,923.6472,0.249,0.027,923.3986,920.9882,925.9459,919.5532,61336394,69537552201
19,sh000022,沪公司债,228.6946,0.049,0.021,228.6457,228.6687,228.6946,228.6687,766068,759970674
20,sh000025,180基建,1938.9583,-12.966,-0.664,1951.9239,1940.0383,1958.0721,1926.8289,33054512,21062109021
21,sh000026,180资源,3524.6097,-16.733,-0.473,3541.3426,3540.5348,3577.9977,3513.9142,15899502,17880213589
22,sh000027,180运输,869.8147,6.004,0.695,863.8112,862.0988,871.9031,859.6495,1898840,2220770655
23,sh000028,180成长,3931.4996,-20.271,-0.513,3951.7711,3942.9486,3953.4291,3922.2565,16107375,57823355157
24,sh000029,180价值,3645.447,-5.173,-0.142,3650.6205,3639.3213,3665.8715,3628.897,54502161,47613124252
25,sh000030,180R成长,2416.6803,-11.689,-0.481,2428.3691,2422.9505,2432.1409,2411.1911,56365977,122020211423
26,sh000031,180R价值,2683.9232,-7.305,-0.271,2691.2278,2683.0086,2698.7007,2676.9369,94760764,111809980518
27,sh000032,上证能源,1848.3569,0.865,0.047,1847.4918,1849.8002,1875.0942,1845.5081,21259795,15276566821
28,sh000033,上证材料,2481.0275,-18.95,-0.758,2499.9773,2496.6101,2504.277,2473.9522,17679363,22559295680
29,sh000034,上证工业,2557.7903,-1.789,-0.07,2559.5797,2558.1384,2569.0346,2550.2189,30546745,30140439923
30,sh000035,上证可选,2905.8626,-14.227,-0.487,2920.0896,2917.7888,2917.8912,2896.0593,8675375,13831156959
